customer_tweet_id,customer_author_id,brand_tweet_id,current_customer_message,conversation_context,historical_brand_response,candidate_intent,candidate_action,escalation_signals,context_turn_count,ambiguity_score,gold_intent,gold_action,gold_handling,gold_reason,gold_evidence_sufficient
639617,271715,639618,@AmazonHelp Here is the order number 113-9038314-1345045,"Customer: @AmazonHelp I can post the chat script so you can read it or dm it to you
AmazonHelp: @271715 So we can best assist, who's the carrier listed under the tracking info of your order: https://t.co/Y5jpI9gRhE?^WT
Customer: @AmazonHelp Here is the order number 113-9038314-1345045","@271715 Sorry, we're unable to access accounts here on Twitter. For your security, I suggest removing the post with your order number. Our pages here are public. ^LI",order,privacy_restriction,explicit_human_request,3,4,,,,,
2291408,665510,2291411,"@AmazonHelp Spoke to support. Now I have to send 2 faulty and 1 unopened drives back. My issue is about the packaging, my data on the faulty drive and confusion about what I should be doing. (2/2)","Customer: @AmazonHelp How do I send you some feedback about a recent order? I seem to be going around in circles, and there's a couple of things that could do with sorting out.
AmazonHelp: @665510 Hi, sorry to hear that. Can you tell us a bit more without sharing any personal or account info? Was the order fulfilled by Amazon or a 3rd Party Seller? ^JJ
Customer: @AmazonHelp Spoke to support. Now I have to send 2 faulty and 1 unopened drives back. My issue is about the packaging, my data on the faulty drive and confusion about what I should be doing. (2/2)","@665510 Hi Ian, I fully understand your frustration. This is not the service we expect. Did you have the chance to leave feedback via the email sent by the agents in question? Please forward your details here - https://t.co/tkLCr7DNil we'd like to investigate further.^TP",account,investigation,,3,1,,,,,
421394,216356,426127,@115850 Amazon Prime total waste of money. Ordered a phone 5 days ago still not received. Already complaint 4 times. Customer service not helpful.,"Customer: Want to track your refunds but don’t know how? Here’s a simple answer: https://t.co/exsg0SvgkO #KaroMilkeTayyari #AmazonGreatIndianFestival https://t.co/A9qpJWPrOc
Customer: @115850 Amazon Prime total waste of money. Ordered a phone 5 days ago still not received. Already complaint 4 times. Customer service not helpful.","@216356 I’m sorry about this experience. I’d like to assist you, please fill this form: https://t.co/beaaDm0muc. ^RW",complaint,other,explicit_human_request|failed_support|missing_delivery,2,3,,,,,
152052,150744,152051,"@116875 A mi me alegra más, tenerlos de mi lado ❤️ jaja fue Mario Party para Nintendo 3DS 😃😃😃 https://t.co/bI6kaQTlOl","Customer: Es genial tener Prime con @116875, ayer pedí un videojuego por la noche y me llegó hoy tempranito ❤️ https://t.co/bLXrDfngtI
Customer: @116875 A mi me alegra más, tenerlos de mi lado ❤️ jaja fue Mario Party para Nintendo 3DS 😃😃😃 https://t.co/bI6kaQTlOl","@150744 Daani, ese juego es increíble 😍 ¡Que lo disfrutes! ^LC",product,other,,2,1,,,,,
1391182,353035,1391186,@AmazonHelp So what should I do. Why u r not take this seriously. Your service 100% bad.,"Customer: @115850 What a experience with U,dt of delivery 16th Oct, till date not receive sms, phone call from your end. 406-5971342-8385950 1/3
AmazonHelp: @353035 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^HD
Customer: @AmazonHelp So what should I do. Why u r not take this seriously. Your service 100% bad.","@353035 We'll not be able to access your details via Twitter. Hence, we've asked you to share the details via the link so that (1/2)",information,privacy_restriction,explicit_human_request,3,3,,,,,
2285674,664184,2285671,"@AmazonHelp The earphones I ordered yesterday still have not arrived but according to the tracking app, it should be nearby for delivery since 5!","Customer: Dear @117795, don't charge exorbitant fees &amp; fail to quite literally deliver on your promises! Yours sincerely, a furious customer!
AmazonHelp: @664184 I'm sorry for the trouble! Without giving account sensitive information, can you please tell us more about this? ^KJ
Customer: @AmazonHelp The earphones I ordered yesterday still have not arrived but according to the tracking app, it should be nearby for delivery since 5!","@664184 Do keep in mind, that we can deliver up until 8 PM! If this time passes, we'd be happy to look into this with you. ^KJ",order,investigation,explicit_human_request|high_frustration,3,3,,,,,
181307,158576,181306,dear @115821 Your new delivery service doesnt know how to find an address that other carriers delivered 71 times just from amazon. The customer service told me that its a free market and that I can go somewhere else. #disappointed #amazon #prime,Customer: dear @115821 Your new delivery service doesnt know how to find an address that other carriers delivered 71 times just from amazon. The customer service told me that its a free market and that I can go somewhere else. #disappointed #amazon #prime,@158576 I'm sorry for the poor experience! Please provide your details here: https://t.co/pJ7V9QHW6u and a member from my team will investigate this further. Thanks in advance! ^EZ,delivery,investigation,,1,3,,,,,
281019,182958,281020,@AmazonHelp Yep yesterday then today,"Customer: @AmazonHelp No everyday i phone everyday they say its definitely coming today, but even hermes is saying lost come on now
AmazonHelp: @182958 When you got in touch, did we advise waiting until a certain date? ^BM
Customer: @AmazonHelp Yep yesterday then today",@182958 Thanks. If you get in touch via https://t.co/tkLCr7DNil I'll have a specialist look into this for you. ^BM,complaint,investigation,explicit_human_request,3,2,,,,,
2356889,680855,2356891,@AmazonHelp Unable to contact https://t.co/uLiJrv6JSO customer care.. order has been processed on https://t.co/uLiJrv6JSO and not Amazon.in,"Customer: @115821 auto debited ₹6454 from my card for Amazon prime without my consent.. I never needed prime from https://t.co/QPhqEKZTO6 Moreover I am a resident of India
AmazonHelp: @680855 I'm sorry for the experience. Please report this to our support team here: https://t.co/vlvfJr4nN9 so that we could assist you with your issue.^HS
Customer: @AmazonHelp Unable to contact https://t.co/uLiJrv6JSO customer care.. order has been processed on https://t.co/uLiJrv6JSO and not Amazon.in",@680855 Kindly use this link: https://t.co/1MVtdI5Klp to contact https://t.co/nUUp5MLhYl customer service. ^MP,payment,phone_chat,,3,1,,,,,
2405169,275641,2405167,"@120533 les Prime Videos ne veulent plus se lancer, une maintenance est en cours ?","Customer: @120533 les Prime Videos ne veulent plus se lancer, une maintenance est en cours ?","@275641 Nous tenons à regarder de plus près ce qui s’est passé et vous aider. Lorsque vous avez le temps, s’il vous plaît contactez notre service spécialiste ici: https://t.co/1thqWtqfOc ^BR",product,other,,1,0,,,,,
444334,220256,444333,@115850 Seller is not providing me original Purchase Invoice for Order # 405-8602974-7787515,Customer: @115850 Seller is not providing me original Purchase Invoice for Order # 405-8602974-7787515,@220256 Have you tried printing the invoice here: https://t.co/wGo0lWTBbL. ^AP,order,other,,1,0,,,,,
1916321,570794,1916323,@AmazonHelp I plan on never ordering from amazon again. Trust is gone. I was lied to many times on the phone. What number can I reach you at?,"Customer: I’ve had the worst shipping experience with the @115821 carrier service in Boston over the past 3 days. Cancelled my order. Your experience?
AmazonHelp: @570794 I'm so sorry for the experience you've had, Jonathan. Would you please tell us what's going on? We'd like to help! ^MH
Customer: @AmazonHelp I plan on never ordering from amazon again. Trust is gone. I was lied to many times on the phone. What number can I reach you at?",@570794 You can contact us via phone or chat here: https://t.co/hApLpMlfHN ^MW,shipping,phone_chat,explicit_human_request|high_frustration,3,1,,,,,
1554971,480900,1554969,I forgot to cancel my amazon prime trial so guess who just paid $83 for a friggen year of amazon 😭,Customer: I forgot to cancel my amazon prime trial so guess who just paid $83 for a friggen year of amazon 😭,"@480900 Sorry for the unexpected charge. If you haven't used any of the benefits, see your refund options here: https://t.co/3tyIcYB9gj ^CL",cancellation,refund_replacement,,1,0,,,,,
28960,122371,28961,@AmazonHelp Yes,"Customer: @AmazonHelp Sir pls update ur page abt prizes !! Or it seems to be a gimmick for us..
AmazonHelp: @122371 Are you looking for the results of the iPhone Quiz? If yes, kindly tell us more on this. ^SG
Customer: @AmazonHelp Yes",@122371 You may check it out here: https://t.co/MGupOOYvHT. Do let us know for any further query. ^AM,complaint,information,explicit_human_request,3,5,,,,,
419858,215102,419859,"@AmazonHelp So y y @AmazonHelp is in Twitter, without been able to see my order. And how you were replying till now. Go through all tweets above n reply","Customer: @AmazonHelp Donno is it human are machine replying to this tweet. I'm asking y did you cancel my order.@115850 if it's a glitch u suld take rspibility
AmazonHelp: @215102 I'm afraid we can't view your order details from Twitter. You should have received an email about the same. ^HA
Customer: @AmazonHelp So y y @AmazonHelp is in Twitter, without been able to see my order. And how you were replying till now. Go through all tweets above n reply",@215102 reason. Kindly check your registered email address for the same. ^SA 2/2,cancellation,other,explicit_human_request,3,1,,,,,
1770528,532254,1770526,@AmazonHelp I haven't received any emails from the Amazon team. And nothing is in my spam folder either. Please email __email__.,"Customer: @AmazonHelp I can't login to my account even after changing my password. I think it's on hold for a security concern? I can't chat for help since I'm not logged in Please help!
AmazonHelp: @532254 We're here to help, Becca! Have you received an e-mail from our account specialists recently? Please let us know! ^FD
Customer: @AmazonHelp I haven't received any emails from the Amazon team. And nothing is in my spam folder either. Please email __email__.",@532254 Thanks for confirming. We'd like to look into this. Please reach us via phone or chat here: https://t.co/hApLpMlfHN ^BL,account,phone_chat,explicit_human_request|missing_delivery,3,3,,,,,
1546679,478939,1546681,@115850 My order kept pending for two months and after two months telling pricing error. No communication from amazon whatsoever on delay,Customer: @115850 My order kept pending for two months and after two months telling pricing error. No communication from amazon whatsoever on delay,@478939 Apologies for the trouble with the delivery of the order. We'd like to help. ^AK (1/2),product,other,,1,2,,,,,
2895895,802489,2895893,"@802490 @115821 Amazon, get your shit together! Guess I'll be canceling my Prime membership.","Customer: Why is @115821 filtering #LGBT content? Why are straight parenting books searchable on their site, but my parenting book for gay dads is being classified as ""adult content"" and excluded in searches? Please retweet to raise awareness. https://t.co/NEox4Eej6J
Customer: @802490 @115821 Amazon, get your shit together! Guess I'll be canceling my Prime membership.","@802489 Hi there, We would love to help with any frustration you are having. Without adding personal account details, can you explain what has happened? -RD",payment,privacy_restriction,,2,1,,,,,
425504,216208,855983,"@118919 @115850 The problem is still not resolved, service centre recommended by Amazon also says the phone not original 🤬","Customer: @118919 @115850 My god this is crazy, bought a micro max phone from Amazon and within 4 months the screen display not working.
Customer: @118919 @115850 When contacted the service centre. He says phone is not original micromax. Is this how Amazon cheating its customers 😡😡😡
Customer: @118919 @115850 The problem is still not resolved, service centre recommended by Amazon also says the phone not original 🤬",@216208 Apologies. I'd request you to fill in your details here: https://t.co/zTvt8M6DWH and we'll contact you soon. ^SM,product,other,explicit_human_request|high_frustration,3,3,,,,,
816353,314401,828338,@115821 Commenting this useless url doesnt help others... For the name shake dont do anything,"Customer: @115821 cheating Amazon, I ordered Moto g5 s plus mobile,but you sent me micromax mobile .I complained in customer care ,but there is no use
Customer: @115821 Commenting this useless url doesnt help others... For the name shake dont do anything",@314401 resolve this at the earliest by sharing your details through the link mentioned earlier. (2/2) ^VM,order,other,failed_support|high_frustration,2,3,,,,,
2465381,705522,2465379,Three of my recent orders from @115830 have been cancelled one item cancelled twice the second time without explanation... SOUND!,Customer: Three of my recent orders from @115830 have been cancelled one item cancelled twice the second time without explanation... SOUND!,"@705522 Hey Gleann! Really sorry to hear about this issue with your orders. Have you been in touch with us about the cancellations? If so, what did we advise? ^JC.",information,other,,1,0,,,,,
1099304,379409,1099305,@AmazonHelp I hv requested my order cancellation but customer care cancelled my all order really pathetic U cannot cancel my orders without my permissi,"Customer: @115850 I am not able to cancel my order and even customer care is not taking calls Pathetic service..... order - 171-0257524-0179556
AmazonHelp: @379409 Sorry to know you're having trouble reaching us. You can connect with us via chat or email here: https://t.co/R3EfhzgU8B. 1/2 ^PS
Customer: @AmazonHelp I hv requested my order cancellation but customer care cancelled my all order really pathetic U cannot cancel my orders without my permissi","@379409 Sorry to know your orders were cancelled. I'd like to take a look, please fill this form here: https://t.co/GIJyeYqKE0. ^PS",cancellation,other,explicit_human_request,3,1,,,,,
1307848,425616,1307851,@AmazonHelp Please response as soon as possible or else I need to esc to higher level for such fraud to customers @AmazonHelp @115821 @AmazonHelp,"Customer: Ordrd headphone &amp; got nothing , such a fraud, really such worst service, esc via email 2times no response yet @115821 @115850 @AmazonHelp https://t.co/NEiKeqQJgC
AmazonHelp: @425616 Please don't provide your order details, we consider it personal information. Our page is visible to public. (2/2) ^ZH
Customer: @AmazonHelp Please response as soon as possible or else I need to esc to higher level for such fraud to customers @AmazonHelp @115821 @AmazonHelp",@425616 Apologies for the delay in resolving your query. I'd like to take a closer look at this. ^AK (1/2),complaint,investigation,explicit_human_request|high_frustration,3,1,,,,,
2184534,639851,2184535,@AmazonHelp This is NOT what I wanted! Undeliverable!! I'm looking for compensation now. There's no way you can get this back to me on a new order. Your site says unavailable stock. You really let me down this down 😣😥😭😡 @115830 #wtf #XboxOneX #failbigtime https://t.co/s9q9be8GYo,"Customer: @AmazonHelp I've already done that. I've been on the phone three times today. I need this sorting out urgently otherwise it'll be returned. The Project Scorpio edition is sold out and not likely to come back for purchase now the standard box is due out next week.
AmazonHelp: @639851 I understand your concern, Naguib. I'd like a member of my team to personally look into this with you. When you have the chance, please provide more information on the issue here: https://t.co/1FTIMWI18u. ^VB
Customer: @AmazonHelp This is NOT what I wanted! Undeliverable!! I'm looking for compensation now. There's no way you can get this back to me on a new order. Your site says unavailable stock. You really let me down this down 😣😥😭😡 @115830 #wtf #XboxOneX #failbigtime https://t.co/s9q9be8GYo","@639851 Oh no! I'm so sorry to see this, Naguib! I know you were really looking forward to receiving this system! Did you happen to receive an email from us explaining what happened to this parcel? You can also check our Message Centre: https://t.co/S6IgyiJM8t ^FR",refund,information,explicit_human_request|high_frustration,3,3,,,,,
27877,122101,27878,@AmazonHelp I purchased redmi4 few function of phone not working and camera quality not good. Hence don't want to replace this with same product.,"Customer: @115850 worst return policy I have ever seen in any online shopping website.
AmazonHelp: @122101 Could you please elaborate the issue so that we can assist you. ^SU(2/2)
Customer: @AmazonHelp I purchased redmi4 few function of phone not working and camera quality not good. Hence don't want to replace this with same product.",@122101 I'm sorry the product isn't working as expected. Kindly report this to our support team 1/2 ^AP,refund,other,explicit_human_request|high_frustration,3,3,,,,,
811623,313378,811624,@AmazonHelp My money was on hold for 12 to 15 days still don't know whom to ask Order # 407-0362700-2161952,Customer: @AmazonHelp My money was on hold for 12 to 15 days still don't know whom to ask Order # 407-0362700-2161952,@313378 That's strange. Allow us to take a closer look on this. Please share your details here: https://t.co/GIJyeYqKE0. ^VN(1/2),order,investigation,,1,2,,,,,
2405242,691495,2405241,@115850 Order date 05-Nov-2017 Order # 402-5085891-5452357 Shipment details FREE Delivery on eligible orders Dispatched Delivery Estimate: Monday 13 November 2017 by 8:00pm Pathetic service and ridiculous agents,Customer: @115850 Order date 05-Nov-2017 Order # 402-5085891-5452357 Shipment details FREE Delivery on eligible orders Dispatched Delivery Estimate: Monday 13 November 2017 by 8:00pm Pathetic service and ridiculous agents,"@691495 My apologies about the delay, Manisha. We have responded to your query here: https://t.co/UCsemhXENt. Request you to check. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^NK",order,privacy_restriction,explicit_human_request|high_frustration,1,1,,,,,
69804,131812,69805,@AmazonHelp No mail received,"Customer: @AmazonHelp Anytime you call me tell when you're replacing the fake product!
AmazonHelp: @131812 I understand your concern. Kindly reply to the latest correspondence sent by our team with your preferred timings for call back and our team will get back to you soon. Appreciate your understanding. ^GD
Customer: @AmazonHelp No mail received",@131812 You might have received an email from Social Media team here: https://t.co/8DAc10S7ww. Kindly reply to it with the preferable timings for a call back and we'll reach out to you accordingly. ^RB,complaint,callback,explicit_human_request,3,5,,,,,
566566,252839,566568,@AmazonHelp Why is this going to Amazon UK? I am in US and the orders are for US delivery.,"Customer: @AmazonHelp only 3 items out of 6 ordered on BF delivered. All 2 Day Prime, all shipped but still not delivered. New date every day. Tracking is useless. When do I get my items ?
AmazonHelp: @252839 We'd be happy to look into this with you over phone or chat here: https://t.co/JzP7hlA23B ^RR
Customer: @AmazonHelp Why is this going to Amazon UK? I am in US and the orders are for US delivery.","@252839 Oh no! I'm sorry we provided the incorrect link. For orders in the U.S., please phone or chat with us here: https://t.co/xK71ZhLgS7 ^BN",delivery,phone_chat,explicit_human_request|missing_delivery|high_frustration,3,3,,,,,
180522,158447,180524,@AmazonHelp No clear answer,"Customer: Had to cancel my order today from @116090 2 day shipping item still not shipped, horrible experience with the CSR. @AmazonHelp
AmazonHelp: @158447 Were you advised as to what was caused the delay? ^KM
Customer: @AmazonHelp No clear answer",@158447 I'm sorry about the disappointment. I'll be sure to pass your feedback internally. ^SG,shipping,information,,3,5,,,,,
2415986,691037,2415987,@AmazonHelp I've already shared my order id. Already waited more than 36 hours. DELIVER IT TODAY OR CANCEL IT!,"Customer: @115850 @115850 Guaranteed one day delivery is literally forcing me to cancel my order. Please expedite the delivery. Order # 403-2559938-2335517
AmazonHelp: @691037 We're sorry about the delay, Rohit. Please fill up this form: https://t.co/GIJyeYqKE0 and we'll reach out to you. ^HK
Customer: @AmazonHelp I've already shared my order id. Already waited more than 36 hours. DELIVER IT TODAY OR CANCEL IT!",@691037 Kindly fill in your details as asked above and we'll help you. 2/2 ^MM,cancellation,other,,3,3,,,,,
4849,116849,4851,"@AmazonHelp how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me https://t.co/jhzCjY2bOw","Customer: @AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX
AmazonHelp: @116849 I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: https://t.co/jzvkhdlrK5 ^WT
Customer: @AmazonHelp how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me https://t.co/jhzCjY2bOw",@116849 We want our team to investigate this further with you. Please reach out to us using the secure link: https://t.co/m1LX91jiEQ,account,investigation,explicit_human_request|failed_support|account_action,3,3,,,,,
608181,264551,608179,"@AmazonHelp You sent me an email yesterday saying you delivered my package to ""Mr Mark at Lane"". What is this supposed to mean? I have no neighbours called Mark and my neighbours do not have my parcel. Please advise ASAP.","Customer: @AmazonHelp You sent me an email yesterday saying you delivered my package to ""Mr Mark at Lane"". What is this supposed to mean? I have no neighbours called Mark and my neighbours do not have my parcel. Please advise ASAP.","@264551 I'm sorry you don't have your parcel! We'd like to help! To start, here are some tips to help locate a delivered parcel: https://t.co/3w5ioGkCQq ^TK",delivery,other,,1,3,,,,,
181131,158540,181132,@AmazonHelp Acoount frozen. i cant use amazon. But you still charge money! https://t.co/AhMBqVx6Vu,"Customer: @AmazonHelp I don have any orders at Amazon.de. I don’t know what returns they talking about. Look at orders history! https://t.co/JlT87mcOhk
AmazonHelp: @158540 We, the Amazon.de Social Media Team, have sent you another e-mail regarding your account. Please check this e-mail. Regards, ^SI
Customer: @AmazonHelp Acoount frozen. i cant use amazon. But you still charge money! https://t.co/AhMBqVx6Vu","@158540 Hi, sorry to hear that, what happens when you try to login? ^AS",refund,other,,3,3,,,,,
2797146,488422,2797148,@AmazonHelp I have emailed them but feeling am going round in circles with it all thanks,"Customer: Pay for @115830 prime to have it delivered on the day it supposed to says would be delivered by 8pm 2nite and still not received it this is unacceptable in my opinion paying for a service that's not delivering, customer service are useless and it's the 2nd order I not received
AmazonHelp: @488422 I'm sorry for the frustration! We'd like to take a look into this with you. When you have a moment, please contact us by phone or chat here: https://t.co/qy3J24VGxb ^AC
Customer: @AmazonHelp I have emailed them but feeling am going round in circles with it all thanks","@488422 Please try reaching out via phone or live chat, so it can be looked into and discussed in real-time. ^WJ",complaint,other,explicit_human_request|missing_delivery|high_frustration,3,3,,,,,
538475,244839,538476,@AmazonHelp Turns out there's no resolution! https://t.co/tGDEDaIUKW,"Customer: @AmazonHelp I tried the chat team earlier. They said someone would email me. So will wait and see what they say I guess. Is there a way to cast to the Echo from the App?
AmazonHelp: @244839 Great, please keep us informed on the resolution. In the meantime, you can stream from the App to the Echo. You can find out more information here: https://t.co/NUpObEdb4e. ^PJ
Customer: @AmazonHelp Turns out there's no resolution! https://t.co/tGDEDaIUKW","@244839 Hi Laura, can you reach out to us again so we can look into it further? You can reach us here: https://t.co/CYqkdUakWJ. You can contact us by phone for a quicker response.^PJ",product,phone_chat,explicit_human_request,3,4,,,,,
2280833,663017,2280829,@115821 i just had the worst experience with Amazon i am pissed,Customer: @115821 i just had the worst experience with Amazon i am pissed,"@663017 Oh no! I'm sorry for the not so great experience, Heather. Without account details, please tell us what's going on. We'd like to help, if possible! ^AB",complaint,privacy_restriction,high_frustration,1,0,,,,,
1029703,363620,1029710,1/3 @115850 ordered for 2 packs of 2 pillows. Recd only 1pack of 2 n that too fake..watch the video/pics.. https://t.co/gFgBRrGFBc,Customer: 1/3 @115850 ordered for 2 packs of 2 pillows. Recd only 1pack of 2 n that too fake..watch the video/pics.. https://t.co/gFgBRrGFBc,@363620 Sorry to know you received an incomplete item and it was different. We certainly did not expect this to happen. 1/2 ^PS,order,other,,1,2,,,,,
2292068,199682,2292070,"@AmazonHelp then how did i get my parcel In just 2 days when paid rs80 separately. You are just fooling us. My some friends live in metro cities and they have availed prime membership, still they don't get 2 days delivery.","Customer: @115850 what is purpose of getting prime members when I don't get fast delivery. My membership is about to expire &amp; till now I never got 2 days delivery. I ordered a mice showing delivery date 21. Will never be prime membership anymore.
AmazonHelp: @199682 I'm sorry about the unpleasant experience. Prime guaranteed delivery is based on several factors like delivery address, availability of the item in the nearest Fulfillment center and delivery method. ^GD
Customer: @AmazonHelp then how did i get my parcel In just 2 days when paid rs80 separately. You are just fooling us. My some friends live in metro cities and they have availed prime membership, still they don't get 2 days delivery.","@199682 The delivery estimate is calculated based on multiple criteria, including the location of the inventory of item, the delivery address, and how quickly we can put your order together and get it to courier. ^RB",delivery,other,,3,3,,,,,
98687,137601,98689,@AmazonHelp Called in because order was SUPPOSED to be delivered today and I rearranged my schedule to be here. Was told to read my email and that what was on the website was only SORT OF a promise until after an email was sent. The same agent told me I could cancel my order or my prime!,"Customer: @115821 rudest CSR agent EVER!!!! Been shopping with you since 1999! YIKES! Prime membership FAIL - is there anyone that YOU can get me in touch with?
AmazonHelp: @137601 I'm very sorry for this experience. Can you tell us more about what happened without posting account or order info as we are unable to access those details via Twitter? ^DO
Customer: @AmazonHelp Called in because order was SUPPOSED to be delivered today and I rearranged my schedule to be here. Was told to read my email and that what was on the website was only SORT OF a promise until after an email was sent. The same agent told me I could cancel my order or my prime!",@137601 Oh my goodness! I'm sorry about this happening. We certainly want to assist you with this. Did you receive any e-mail regarding your delivery? ^GP,cancellation,other,explicit_human_request,3,3,,,,,
2265529,219977,2265530,@AmazonHelp I already did,"Customer: @AmazonHelp Sir me thak gya hu ye sb faltu kam krte huye
AmazonHelp: @219977 I understand your concern. However, as mentioned earlier, request you to drop in the details of the registered account associated with the order and we'll contact you. ^GK
Customer: @AmazonHelp I already did",@219977 Thanks for the heads up! We've received your details and our team is currently working on it. You'd receive an update anytime soon. Appreciate your patience. ^EM,account,acknowledgement,,3,3,,,,,
