candidate_intent,customer_message,historical_response,conversation_context
refund_return,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,"Customer: @115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q
AmazonHelp: @115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS
Customer: @AmazonHelp Already handled, just venting. It was a pretty big bummer."
refund_return,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,"Customer: @115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q"
refund_return,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B We're unable to view order details via Twitter. ^KL,"Customer: @AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge"
refund_return,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,@116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK,Customer: @AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA
refund_return,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,"Customer: @AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA
AmazonHelp: @116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK
Customer: @AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?"
refund_return,"@AmazonHelp yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money","@116321 I would like someone from our team to take a look into this for you, Sanu. Please reach out here: https://t.co/QtC7bueYoR ^LA","Customer: @AmazonHelp i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund
AmazonHelp: @116321 Have you had a chance to speak with your bank regarding the refund? ^EA
Customer: @AmazonHelp yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money"
refund_return,@AmazonHelp i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund,@116321 Have you had a chance to speak with your bank regarding the refund? ^EA,"Customer: @AmazonHelp and redund issued on 13th https://t.co/1uydlorGCp no sing of my money and amazonuk just saying its in the billing department.no signof devlp
AmazonHelp: @116321 When you last contacted us what information did we provide? Have you spoken with your bank to see if they have the refund? ^LR
Customer: @AmazonHelp i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund"
customer_service_escalation,Way to drop the ball on customer service @115821 so pissed right now!,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",Customer: Way to drop the ball on customer service @115821 so pissed right now!
customer_service_escalation,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD,"Customer: @115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.
AmazonHelp: @115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD
Customer: @AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!"
customer_service_escalation,@AmazonHelp Details sent. Please check.,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,"Customer: @AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!
AmazonHelp: @115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD
Customer: @AmazonHelp Details sent. Please check."
customer_service_escalation,Seriously @115821? I order 6 identical washing up bowls and they are all being dispatched as separate orders? My phone is buzzing non-stop!,@116086 Sorry for the inconvenience! Check out how to manage your notifications here: https://t.co/DLN4bDuc5B ^SG,Customer: Seriously @115821? I order 6 identical washing up bowls and they are all being dispatched as separate orders? My phone is buzzing non-stop!
customer_service_escalation,"@116090 Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed.","@116088 I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA","Customer: @116090 I signed up for Prime so I could preorder Battlefront II and get all the bonuses and now cust service is saying I won’t get bonus
Customer: @116090 Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed."
customer_service_escalation,@AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,"@116088 We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB","Customer: @116090 Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed.
AmazonHelp: @116088 I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA
Customer: @AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :("
customer_service_escalation,@AmazonHelp Want to speak to someone at corp to address these issues.,@116325 Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF https://t.co/1XyLaGkcaN,"Customer: @AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back.
AmazonHelp: @116325 Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG
Customer: @AmazonHelp Want to speak to someone at corp to address these issues."
customer_service_escalation,@AmazonHelp hey amazon - please help me :( i hVe tried calling and chatting with y’all but keep hitting walls. DM?,"@116923 We'd like to help in any way we can, Juan! I've enabled direct messaging. Without providing personal or account information, please tell us a little more about what's going on. ^FD https://t.co/1XyLaGkcaN",Customer: @AmazonHelp hey amazon - please help me :( i hVe tried calling and chatting with y’all but keep hitting walls. DM?
customer_service_escalation,@AmazonHelp live chat down in the UK and as a prime member I cannot t get any items delivered before Tuesday whats going on?,"@116936 Hi there, I'm sorry for the delivery troubles! Just to confirm, are you trying to place an order right now, or is this an ongoing issue? Are we missing the promised delivery dates here: https://t.co/aaDyEz1VgE? ^DW",Customer: @AmazonHelp live chat down in the UK and as a prime member I cannot t get any items delivered before Tuesday whats going on?
customer_service_escalation,@AmazonHelp Please call me,"@117198 If you follow the link ^RR provided, we'd love to give you a call. ^MH","Customer: @AmazonHelp Will do in morning. By the way, I’ve complained about this same issue 3 times and twice before directly to carrier.
AmazonHelp: @117198 When you have a moment, please phone us here: https://t.co/hApLpMlfHN ^RR
Customer: @AmazonHelp Please call me"
account_access,@115823 I want my amazon payments account CLOSED. dm me please.,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",Customer: @115823 I want my amazon payments account CLOSED. dm me please.
account_access,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?","@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG","Customer: Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?"
account_access,@AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,@116082 It would be best if you get in touch with us by phone or chat.use this link to do so: https://t.co/hApLpMlfHN ^CH,"Customer: @AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?
AmazonHelp: @116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ
Customer: @AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?"
account_access,"@AmazonHelp I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",@116083 I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: https://t.co/zYVX1Qi29G. ^LH,"Customer: @115821 being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠
AmazonHelp: @116083 Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP
Customer: @AmazonHelp I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months."
account_access,@AmazonHelp if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,@116085 Thanks for reaching out to us! You can find info on adding household members here: https://t.co/i3uumZzaok ^MO,Customer: @AmazonHelp if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?
account_access,@AmazonHelp It’s not allowing me to update it to register my new amazon account. I read I’d have to do so manually. Thx 4 response.,@116093 No problem! You may need to deregister the Kindle from the old account. You can see how here: https://t.co/zyUJKBZObw ^AJ,"Customer: My Kindle not working properly is breaking my heart! 😩💔
AmazonHelp: @116093 Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks! ^AJ
Customer: @AmazonHelp It’s not allowing me to update it to register my new amazon account. I read I’d have to do so manually. Thx 4 response."
account_access,@AmazonHelp Wasn't tracked as sent via Royal Mail. I've emailed the seller.,@116314 How long has it been since you've e-mailed the seller? ^TR,"Customer: @AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.
AmazonHelp: @116314 We're unable to view any account information via Twitter. What's the current tracking shown here: https://t.co/aaDyEz1VgE? ^AG
Customer: @AmazonHelp Wasn't tracked as sent via Royal Mail. I've emailed the seller."
account_access,"@AmazonHelp I've been in the prime queue, kindle queue, the echo queue, and now on hold again.",@116322 We'd like to look deeper into this issue. Please provide us with more information here: https://t.co/wpDDiHUP4k. ^LH,"AmazonHelp: @116322 I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more info? ^AC
Customer: @AmazonHelp legacy ""shared prime benefits"" account trying to join an amazon household of the prim. account holder to share echo and set up voice profile
Customer: @AmazonHelp I've been in the prime queue, kindle queue, the echo queue, and now on hold again."
account_access,@AmazonHelp No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back,@116325 We'd like another chance to look into this. Please reach out by phone or chat: https://t.co/hApLpMlfHN Please keep us updated. ^FJ,"Customer: @AmazonHelp Want to speak to someone at corp to address these issues.
AmazonHelp: @116325 Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF https://t.co/1XyLaGkcaN
Customer: @AmazonHelp No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back"
account_access,@AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back.,@116325 Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG,"Customer: Rapidly losing faith in @115821 and their #esl CS ability to solve problems. No resolutions or follow ups.
AmazonHelp: @116325 Sorry for the poor experience. Without giving any account information, could you tell us what's going on? We'd love top help! ^MH
Customer: @AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back."
shipping_speed,"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su",@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,"Customer: Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su"
shipping_speed,@115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,@115846 That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN,"Customer: My package from @115821 with my Halloween costume was “delivered” Friday but I don’t have I so searching everywhere for a last minute idea.
Customer: @115846 @115821 Remember my head phones and they brought them within minutes
Customer: @115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol"
shipping_speed,Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp,@116091 Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyEz1VgE. ^LH,Customer: Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp
shipping_speed,"@AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.","@116091 We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: https://t.co/JzP7hlA23B ^BL","Customer: Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp
AmazonHelp: @116091 Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyEz1VgE. ^LH
Customer: @AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted."
shipping_speed,@116096 Truly. This is the strangest vampire book I’ve ever received. 😜 cc @43760 @AmazonHelp #misship https://t.co/Zad7Az14Zg,@116095 I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: https://t.co/FRsodhtXKJ? ^FJ,"Customer: This is the Japanese vampire book I blurbed. Different, touching, and perfectly constructed. https://t.co/lZAfyKtMpe
Customer: @116096 Truly. This is the strangest vampire book I’ve ever received. 😜 cc @43760 @AmazonHelp #misship https://t.co/Zad7Az14Zg"
shipping_speed,"@AmazonHelp I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show.","@116317 I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. ^BE","Customer: @AmazonHelp hello, I’m having an issue with a same day ship order. Can you help me?
AmazonHelp: @116317 Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB
Customer: @AmazonHelp I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show."
shipping_speed,"@AmazonHelp hello, I’m having an issue with a same day ship order. Can you help me?",@116317 Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB,"Customer: @AmazonHelp hello, I’m having an issue with a same day ship order. Can you help me?"
shipping_speed,@115830 you pay for prime expecting next day delivery. Then receive 2 emails half hr apart 'failed delivery' but your sitting at home 😡,"@116619 I'm sorry your parcel wasn't delivered. Please reach us here: https://t.co/XRh1cqD2lT, so we can look into this with you. ^MO",Customer: @115830 you pay for prime expecting next day delivery. Then receive 2 emails half hr apart 'failed delivery' but your sitting at home 😡
shipping_speed,So sad @AmazonHelp @115830 ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime,@116830 Oh no! Did we miss the expected delivery date from your confirmation e-mail here: https://t.co/OmqrPtDrzj Please let us know. ^KL,Customer: So sad @AmazonHelp @115830 ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime
shipping_speed,"Hey @115821, maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the day after launch!","@116851 I'm sorry for the poor experience, Skylar. Were you given a reason for the delay? Check here: https://t.co/KhGfgWxX2q ^FD","Customer: Hey @115821, maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the day after launch!"
product_device_issue,amazonのfireTVstickが見れない😢,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET,Customer: amazonのfireTVstickが見れない😢
product_device_issue,@AmazonHelp 電話で対応してもらいましたが改良されませんでした。 保証期間も過ぎてるので買い直しになるんでしょうね。,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET,"Customer: amazonのfireTVstickが見れない😢
AmazonHelp: @115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET
Customer: @AmazonHelp 電話で対応してもらいましたが改良されませんでした。 保証期間も過ぎてるので買い直しになるんでしょうね。"
product_device_issue,@AmazonHelp Hi ready for some help,@115834 Were you able to reach us at the link DW provided? ^TR,"Customer: @AmazonHelp Is the Echo Show no longer supported?
AmazonHelp: @115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW
Customer: @AmazonHelp Hi ready for some help"
product_device_issue,@AmazonHelp Is the Echo Show no longer supported?,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW","AmazonHelp: @115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG
Customer: @AmazonHelp Nothing there helped me with the Echo Show
Customer: @AmazonHelp Is the Echo Show no longer supported?"
product_device_issue,My Kindle not working properly is breaking my heart! 😩💔,"@116093 Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks! ^AJ",Customer: My Kindle not working properly is breaking my heart! 😩💔
product_device_issue,@AmazonHelp 先日教えていただいたように、fireTVstickとルーターの両方を再起動してみたら、前回のようには途切れなくなりました！ありがとうございます😊今の所大丈夫ですが、あとは72時間TV当日に接続が切れてしまわないように祈るのみです...。 お礼と報告まで。 https://t.co/hS5VmxuIfX,@116312 わざわざご連絡をいただき、ありがとうございます。問題が改善されたようで、何よりでございます。万が一再度お困りのことがございましたら、ご遠慮なくお知らせください🙏 YM,"Customer: @AmazonHelp ご丁寧にありがとうございます！トライしてみて改善されなければCSへご連絡します。返信いただけると思っていなかったので本当に嬉しいです！
AmazonHelp: @116312 こちらこそリプライいただきありがとうございます！ご様子を見ていただき、改善されない場合、お早目にカスタマーサービスにご連絡いただければと存じます。よろしくお願いいたします m(_ _)m HM
Customer: @AmazonHelp 先日教えていただいたように、fireTVstickとルーターの両方を再起動してみたら、前回のようには途切れなくなりました！ありがとうございます😊今の所大丈夫ですが、あとは72時間TV当日に接続が切れてしまわないように祈るのみです...。 お礼と報告まで。 https://t.co/hS5VmxuIfX"
product_device_issue,@AmazonHelp ありがとうございます！ テレビにstickを接続しているのですが、WiFi接続がすぐに切れてしまい、数分しか見ることができません。,@116312 かしこまりました。端末、ルーター、モデムを再起動し改善するかお試しください。https://t.co/mUMGYDqPEM 改善しない場合、カスタマーサービスにお知らせください。https://t.co/NtNAX37Sr4 ET https://t.co/kp0Ug6rMsZ,"Customer: @116313 fire TV stickを購入したのですが一瞬しかうつりません.°(ಗдಗ。)°.どうしたらいいのでしょうか...
AmazonHelp: @116312 アマゾンです。お困りの状況が特定できないのですが、エラーメッセージや画面の状況、操作方法など詳しい状況を教えていただけますか。ご利用端末はテレビですかPS4などのゲーム機でしょうか。ET
Customer: @AmazonHelp ありがとうございます！ テレビにstickを接続しているのですが、WiFi接続がすぐに切れてしまい、数分しか見ることができません。"
product_device_issue,@116313 fire TV stickを購入したのですが一瞬しかうつりません.°(ಗдಗ。)°.どうしたらいいのでしょうか...,@116312 アマゾンです。お困りの状況が特定できないのですが、エラーメッセージや画面の状況、操作方法など詳しい状況を教えていただけますか。ご利用端末はテレビですかPS4などのゲーム機でしょうか。ET,"Customer: 「#72時間ホンネテレビ」をFire TV Stickで観よう。11/2 21時からAbemaTVで生放送。Fire TV Stickなら、大画面で楽しめます。Prime Nowにて、500円OFFキャンペーン実施中(エリア限定)。https://t.co/B8u1j1MVBu https://t.co/guqfbltFj1
Customer: @116313 fire TV stickを購入したのですが一瞬しかうつりません.°(ಗдಗ。)°.どうしたらいいのでしょうか..."
product_device_issue,@AmazonHelp Sadly yes,@116617 What devices are you using for Amazon Video? ^AN,"Customer: @AmazonHelp Many times, but still failing, and it happen with some show
AmazonHelp: @116617 Is this still ongoing? What devices are you using? ^AN
Customer: @AmazonHelp Sadly yes"
product_device_issue,"@AmazonHelp Mac book pro, with Chrome",@116617 In this case please contact my colleagues via: https://t.co/LFLW8z8jr2 They will help you! Regards ^DW,"Customer: @AmazonHelp Sadly yes
AmazonHelp: @116617 What devices are you using for Amazon Video? ^AN
Customer: @AmazonHelp Mac book pro, with Chrome"
delivery_delay,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,@115827 Thanks for your patience. ^KM,"Customer: @115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away
AmazonHelp: @115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ
Customer: @AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August"
delivery_delay,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,Customer: @115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡
delivery_delay,@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,"@116094 (2/2) Also, for your security, I'd recommend deleting the image, as it contains your tracking number. ^WT",Customer: @AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC
delivery_delay,@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,@116094 I'm so sorry! We'd like to make sure this is addressed. Please provide some details here: https://t.co/KctVgMFvbp (1/2),Customer: @AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC
delivery_delay,@AmazonHelp I allowed it well past 8 PM. I was never notified about any other delays,@116317 I'm sorry that it still hasn't arrived. Please contact us so that we can look into this together: https://t.co/hApLpMlfHN ^EA,"Customer: @AmazonHelp I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show.
AmazonHelp: @116317 I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. ^BE
Customer: @AmazonHelp I allowed it well past 8 PM. I was never notified about any other delays"
