candidate_intent,current_customer_message,historical_brand_response,conversation_context,escalation_signals
customer_service_escalation,"@116090 Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed.","@116088 I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA","Customer: @116090 I signed up for Prime so I could preorder Battlefront II and get all the bonuses and now cust service is saying I won’t get bonus
Customer: @116090 Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed.",high_frustration
customer_service_escalation,@AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,"@116088 We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB","Customer: @116090 Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed.
AmazonHelp: @116088 I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA
Customer: @AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(",high_frustration
delivery_not_received,@AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.,@116314 We're unable to view any account information via Twitter. What's the current tracking shown here: https://t.co/aaDyEz1VgE? ^AG,"Customer: @AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks
AmazonHelp: @116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG
Customer: @AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.",missing_delivery
delivery_not_received,"@AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",@116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG,"Customer: @AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",missing_delivery
delivery_not_received,@AmazonHelp Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it,@116323 We're definitely here to help! Please reach out to us by phone here: https://t.co/JzP7hlA23B ^SE,"Customer: @116324 not dlvd after 1 wk. U lied 2 @AmazonHelp saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now!
AmazonHelp: @116323 I'm sorry your order hasn't arrived yet! Please let us know if you haven't received it within 48 hours. ^EB
Customer: @AmazonHelp Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it",missing_delivery
account_access,@AmazonHelp No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back,@116325 We'd like another chance to look into this. Please reach out by phone or chat: https://t.co/hApLpMlfHN Please keep us updated. ^FJ,"Customer: @AmazonHelp Want to speak to someone at corp to address these issues.
AmazonHelp: @116325 Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF https://t.co/1XyLaGkcaN
Customer: @AmazonHelp No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back",explicit_support_request
customer_service_escalation,@AmazonHelp Want to speak to someone at corp to address these issues.,@116325 Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF https://t.co/1XyLaGkcaN,"Customer: @AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back.
AmazonHelp: @116325 Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG
Customer: @AmazonHelp Want to speak to someone at corp to address these issues.",explicit_support_request
account_access,@AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back.,@116325 Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG,"Customer: Rapidly losing faith in @115821 and their #esl CS ability to solve problems. No resolutions or follow ups.
AmazonHelp: @116325 Sorry for the poor experience. Without giving any account information, could you tell us what's going on? We'd love top help! ^MH
Customer: @AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back.",explicit_support_request
account_access,@AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me,@116611 I'm sorry for the trouble! Have you tried the steps outlined here? https://t.co/POJ37mWiEk ^LA,Customer: @AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me,account_action_required
account_access,@AmazonHelp All of them,@116611 Hmm.... Let's take a closer look into what's going on here: https://t.co/jzvkhdlrK5 ^ML,"Customer: @AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me
AmazonHelp: @116611 I'm sorry for the trouble! Have you tried the steps outlined here? https://t.co/POJ37mWiEk ^LA
Customer: @AmazonHelp All of them",account_action_required
other,"@AmazonHelp Many times, but still failing, and it happen with some show",@116617 Is this still ongoing? What devices are you using? ^AN,"Customer: @116618 why your videos on Germany breaks too?
AmazonHelp: @116617 Have you already tried a restart? Kind regards ^NW
Customer: @AmazonHelp Many times, but still failing, and it happen with some show",failed_self_service
account_access,"@AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX","@116849 I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: https://t.co/jzvkhdlrK5 ^WT","Customer: @AmazonHelp no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method, this is so frustrating
AmazonHelp: @116849 I'm so sorry for the frustration, Luis. We should absolutely be able to help! Please contact us using the link TN provided. ^SD
Customer: @AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX","explicit_support_request, account_action_required, failed_self_service"
account_access,"@AmazonHelp how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me https://t.co/jhzCjY2bOw",@116849 We want our team to investigate this further with you. Please reach out to us using the secure link: https://t.co/m1LX91jiEQ,"Customer: @AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX
AmazonHelp: @116849 I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: https://t.co/jzvkhdlrK5 ^WT
Customer: @AmazonHelp how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me https://t.co/jhzCjY2bOw","explicit_support_request, account_action_required, failed_self_service"
account_access,"@AmazonHelp no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method, this is so frustrating","@116849 I'm so sorry for the frustration, Luis. We should absolutely be able to help! Please contact us using the link TN provided. ^SD","Customer: @AmazonHelp no luck on receiving the code by text or call, will I loose my account, yesterday a phone representative tried to help already https://t.co/Yn5SUBQonU
AmazonHelp: @116849 I'm sorry for the challenge signing in. Please use the link from above again so that we can help. Keep us updated! ^MH
Customer: @AmazonHelp no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method, this is so frustrating",explicit_support_request
account_access,"@AmazonHelp no luck on receiving the code by text or call, will I loose my account, yesterday a phone representative tried to help already https://t.co/Yn5SUBQonU",@116849 I'm sorry for the challenge signing in. Please use the link from above again so that we can help. Keep us updated! ^MH,"Customer: @AmazonHelp USAs Amazon. Com
AmazonHelp: @116849 Please reach out to us directly here: https://t.co/jzvkhdlrK5 We'd love to help get you logged in! ^TN
Customer: @AmazonHelp no luck on receiving the code by text or call, will I loose my account, yesterday a phone representative tried to help already https://t.co/Yn5SUBQonU",explicit_support_request
account_access,@AmazonHelp USAs Amazon. Com,@116849 Please reach out to us directly here: https://t.co/jzvkhdlrK5 We'd love to help get you logged in! ^TN,"Customer: @AmazonHelp Im not receiving 2step code by text or call in my smartphone can't log in into my account already got help by phone with no luck
AmazonHelp: @116849 Sorry you're having problems logging in. Please let us know which Amazon site you are using (.com .es). Thanks. ^SE
Customer: @AmazonHelp USAs Amazon. Com",explicit_support_request
account_access,@AmazonHelp Im not receiving 2step code by text or call in my smartphone can't log in into my account already got help by phone with no luck,@116849 Sorry you're having problems logging in. Please let us know which Amazon site you are using (.com .es). Thanks. ^SE,Customer: @AmazonHelp Im not receiving 2step code by text or call in my smartphone can't log in into my account already got help by phone with no luck,explicit_support_request
delivery_not_received,"@AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.","@116914 I understand your frustration! Our team would like a chance to address this concern. At your convenience, include your details here: https://t.co/hKZOmv3DMU ^SJ","Customer: @115821 the more I order from you guys, the more I'm going to stop being a customer....YOUR DRIVERS ARE USELESS. Once again they marked a package delivered when it clearly wasn't. I received one of two packages, yet they were both marked delivered. 3 times in 1 month! https://t.co/9UYVHPVWtE
AmazonHelp: @116914 I'm so sorry to hear your order was scanned as delivered when it wasn't. We'd like to help if we can. Just to confirm, who's the carrier shown on your order here: https://t.co/wBHsNpkyQZ? ^CC
Customer: @AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.","missing_delivery, high_frustration"
delivery_not_received,@AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H,@116914 I'm truly sorry for the inconvenience! We don't have access to your account via Twitter. We'd like to help if we can. Please connect with us here so we can assist you: https://t.co/hApLpMlfHN ^MO,"Customer: @AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.
AmazonHelp: @116914 I understand your frustration! Our team would like a chance to address this concern. At your convenience, include your details here: https://t.co/hKZOmv3DMU ^SJ
Customer: @AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H",missing_delivery
delivery_not_received,"@115821 the more I order from you guys, the more I'm going to stop being a customer....YOUR DRIVERS ARE USELESS. Once again they marked a package delivered when it clearly wasn't. I received one of two packages, yet they were both marked delivered. 3 times in 1 month! https://t.co/9UYVHPVWtE","@116914 I'm so sorry to hear your order was scanned as delivered when it wasn't. We'd like to help if we can. Just to confirm, who's the carrier shown on your order here: https://t.co/wBHsNpkyQZ? ^CC","Customer: @115821 the more I order from you guys, the more I'm going to stop being a customer....YOUR DRIVERS ARE USELESS. Once again they marked a package delivered when it clearly wasn't. I received one of two packages, yet they were both marked delivered. 3 times in 1 month! https://t.co/9UYVHPVWtE","missing_delivery, high_frustration"
customer_service_escalation,@AmazonHelp hey amazon - please help me :( i hVe tried calling and chatting with y’all but keep hitting walls. DM?,"@116923 We'd like to help in any way we can, Juan! I've enabled direct messaging. Without providing personal or account information, please tell us a little more about what's going on. ^FD https://t.co/1XyLaGkcaN",Customer: @AmazonHelp hey amazon - please help me :( i hVe tried calling and chatting with y’all but keep hitting walls. DM?,explicit_support_request
account_access,@AmazonHelp I’m looking to reroute all my packages (except 1) to a nearby Amazon locker. I’ll DM you now :),@116923 Thanks for the information. We've responded to your DM. ^GG,"Customer: @AmazonHelp hey amazon - please help me :( i hVe tried calling and chatting with y’all but keep hitting walls. DM?
AmazonHelp: @116923 We'd like to help in any way we can, Juan! I've enabled direct messaging. Without providing personal or account information, please tell us a little more about what's going on. ^FD https://t.co/1XyLaGkcaN
Customer: @AmazonHelp I’m looking to reroute all my packages (except 1) to a nearby Amazon locker. I’ll DM you now :)",explicit_support_request
account_access,@AmazonHelp Yes.,@116932 Can you tell us when this information was submitted? Account Specialists can take up to 2 business days to investigate an account when the information has been sent. ^EZ,"Customer: @AmazonHelp Still not working. They sent me a link to reset the password, try and sign in with new password and still locked out.
AmazonHelp: @116932 Did information get sent to our Accounts Specialists to look into when you contacted in? ^DO
Customer: @AmazonHelp Yes.","account_action_required, failed_self_service"
account_access,"@AmazonHelp Still not working. They sent me a link to reset the password, try and sign in with new password and still locked out.",@116932 Did information get sent to our Accounts Specialists to look into when you contacted in? ^DO,"Customer: @AmazonHelp Someone keeps trying to buy playstation cards on my account. Having a hard time getting customer service
AmazonHelp: @116932 Thanks for letting us know about this, Jon. We're here to help! We can be reached 24/7 here: https://t.co/hApLpMlfHN. Please do keep us in the loop. ^BL
Customer: @AmazonHelp Still not working. They sent me a link to reset the password, try and sign in with new password and still locked out.","account_action_required, failed_self_service"
account_access,@AmazonHelp Trying to place an order this happened before and deleting and rentering my address fixed it but now it's across multiple prime accounts to the same address,"@116936 Prime shipping refers to transit time after your orders ship, in working days. Some orders require additional processing and handling. The delivery date shown at checkout is the most accurate. ^LR","Customer: @AmazonHelp live chat down in the UK and as a prime member I cannot t get any items delivered before Tuesday whats going on?
AmazonHelp: @116936 Hi there, I'm sorry for the delivery troubles! Just to confirm, are you trying to place an order right now, or is this an ongoing issue? Are we missing the promised delivery dates here: https://t.co/aaDyEz1VgE? ^DW
Customer: @AmazonHelp Trying to place an order this happened before and deleting and rentering my address fixed it but now it's across multiple prime accounts to the same address",explicit_support_request
customer_service_escalation,@AmazonHelp live chat down in the UK and as a prime member I cannot t get any items delivered before Tuesday whats going on?,"@116936 Hi there, I'm sorry for the delivery troubles! Just to confirm, are you trying to place an order right now, or is this an ongoing issue? Are we missing the promised delivery dates here: https://t.co/aaDyEz1VgE? ^DW",Customer: @AmazonHelp live chat down in the UK and as a prime member I cannot t get any items delivered before Tuesday whats going on?,explicit_support_request
other,"@AmazonHelp Will do in morning. By the way, I’ve complained about this same issue 3 times and twice before directly to carrier.","@117198 When you have a moment, please phone us here: https://t.co/hApLpMlfHN ^RR","Customer: @115821 So for the 4th time the package I ordered was tossed onto my property instead of being left on my front porch. It was raining. Package wet. I’ve complained repeatedly to no avail. Since Amazon switched from USPS to local delivery Svc the SERVICE is terrible.
AmazonHelp: @117198 I am so sorry this has happened. Can you please clarify the carrier for us? We want to assist! You can see that info here: https://t.co/WvaNTeDWQh ^BA
Customer: @AmazonHelp Will do in morning. By the way, I’ve complained about this same issue 3 times and twice before directly to carrier.",high_frustration
customer_service_escalation,@AmazonHelp Please call me,"@117198 If you follow the link ^RR provided, we'd love to give you a call. ^MH","Customer: @AmazonHelp Will do in morning. By the way, I’ve complained about this same issue 3 times and twice before directly to carrier.
AmazonHelp: @117198 When you have a moment, please phone us here: https://t.co/hApLpMlfHN ^RR
Customer: @AmazonHelp Please call me",explicit_support_request
customer_service_escalation,@AmazonHelp Or you can provide me with a direct dial number and I’ll call it now,@117198 Hi there! We are not able to see customer's account information here on Twitter. Please reach out to us by calling 866-216-1072 and keep us updated on the outcome! ^SP,"Customer: @AmazonHelp Please call me
AmazonHelp: @117198 If you follow the link ^RR provided, we'd love to give you a call. ^MH
Customer: @AmazonHelp Or you can provide me with a direct dial number and I’ll call it now",explicit_support_request
other,@115821 So for the 4th time the package I ordered was tossed onto my property instead of being left on my front porch. It was raining. Package wet. I’ve complained repeatedly to no avail. Since Amazon switched from USPS to local delivery Svc the SERVICE is terrible.,@117198 I am so sorry this has happened. Can you please clarify the carrier for us? We want to assist! You can see that info here: https://t.co/WvaNTeDWQh ^BA,Customer: @115821 So for the 4th time the package I ordered was tossed onto my property instead of being left on my front porch. It was raining. Package wet. I’ve complained repeatedly to no avail. Since Amazon switched from USPS to local delivery Svc the SERVICE is terrible.,high_frustration
account_access,"@AmazonHelp I got it sorted out, after multiple phone calls and failed chat sessions (those were horrible btw)","@117631 Thanks for the update! I'm sorry about the order issues and your inconvenience, but glad that everything has been resolved. ^SE","Customer: @115821 I’ve had nothing but trouble with 2/3 of my orders this month and I’m starting to doubt my continuing my prime membership
AmazonHelp: @117631 Without posting account information, could you provide us with a few details about the issue? We'd like to help! ^WM
Customer: @AmazonHelp I got it sorted out, after multiple phone calls and failed chat sessions (those were horrible btw)",explicit_support_request
account_access,@AmazonHelp I'm UK based. Are the contact details the same?,@117632 Sorry! Try this one instead: https://t.co/JzP7hlA23B ^TR,"Customer: @AmazonHelp It looks as though someone has changed the email address linked to my acct &amp; I can no longer log in. Help!
AmazonHelp: @117632 We're here to help! Please, reach us phone or e-mail so we can investigate: https://t.co/jzvkhdlrK5 ^EB
Customer: @AmazonHelp I'm UK based. Are the contact details the same?",explicit_support_request
other,Not here pissed @115821,@117635 I'm sorry your order hasn't arrived! Please reach us here: https://t.co/hApLpMlfHN if it doesn't arrive tomorrow. ^EZ,Customer: Not here pissed @115821,high_frustration
refund_return,"Worst experience in shopping no product no refund , been 40 days. F&amp;@694 it @115821",@117789 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD,"Customer: Worst experience in shopping no product no refund , been 40 days. F&amp;@694 it @115821",high_frustration
refund_return,"@AmazonHelp Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (1 item) check out yourself","@117789 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^MK","Customer: Worst experience in shopping no product no refund , been 40 days. F&amp;@694 it @115821
AmazonHelp: @117789 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD
Customer: @AmazonHelp Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (1 item) check out yourself",high_frustration
refund_return,@AmazonHelp What support team are you talking about ? I called twice n they make it sound like they will graciously refund my money. But then nothing,"@117789 Sorry for this ordeal, Benish. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. ^HD","Customer: Worst experience in shopping no product no refund , been 40 days. F&amp;@694 it @115821
AmazonHelp: @117789 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD
Customer: @AmazonHelp What support team are you talking about ? I called twice n they make it sound like they will graciously refund my money. But then nothing",high_frustration
delivery_not_received,"@AmazonHelp Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (delete it again)","@117789 Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK","Customer: @AmazonHelp Incredible! I shouldn’t post my details here Coz it’s public. While you can’t access it being in Amazon! Are you kidding me ?
AmazonHelp: @117789 We haven't received your details. Kindly share your details here: https://t.co/JzRdscmdH9 and I'll get in touch soon. ^AK
Customer: @AmazonHelp Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (delete it again)",missing_delivery
delivery_not_received,"@AmazonHelp Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (delete it again)",@117789 We've received your details and we'll reach out to you soon. (1/2) ^GK,"Customer: @AmazonHelp Incredible! I shouldn’t post my details here Coz it’s public. While you can’t access it being in Amazon! Are you kidding me ?
AmazonHelp: @117789 We haven't received your details. Kindly share your details here: https://t.co/JzRdscmdH9 and I'll get in touch soon. ^AK
Customer: @AmazonHelp Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (delete it again)",missing_delivery
refund_return,"Worst experience in shopping no product no refund , been 40 days. F&amp;@694 it @115821","@117789 Apologies for the delay in delivery of your order, Benish. We'd like to take a closer look. 1/2 ^HD","Customer: Worst experience in shopping no product no refund , been 40 days. F&amp;@694 it @115821",high_frustration
refund_return,"@115821 , #fake I phone 7 received from amazon , India - order ID: amazon India has refused to replace @115850 pictures attach herewith. https://t.co/iYmtFWzE6o","@117791 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^MK","Customer: @115821 , #fake I phone 7 received from amazon , India - order ID: amazon India has refused to replace @115850 pictures attach herewith. https://t.co/iYmtFWzE6o",explicit_support_request
refund_return,"@115821 , #fake I phone 7 received from amazon , India - order ID: amazon India has refused to replace @115850 pictures attach herewith. https://t.co/iYmtFWzE6o",@117791 We've emailed you in response to the details you shared earlier. Please reply on the same for further assistance. 1/2 ^MK,"Customer: @115821 , #fake I phone 7 received from amazon , India - order ID: amazon India has refused to replace @115850 pictures attach herewith. https://t.co/iYmtFWzE6o",explicit_support_request
customer_service_escalation,Ordered cases for our new iPhone X and @115821 sent me iPhone 8 cases for BOTH ones. NOT THE SAME PHONE! #pissed,@117793 I'm sorry you didn't receive the correct items! I recommend trying the steps here for wrong items: https://t.co/3B6iUhjS3U ^SJ,Customer: Ordered cases for our new iPhone X and @115821 sent me iPhone 8 cases for BOTH ones. NOT THE SAME PHONE! #pissed,"explicit_support_request, high_frustration"
order_change_cancel,@AmazonHelp I already chatted with help and am still not convinced i'll get the right item because clearly the warehouse workers can't read.,@117793 Please keep us posted if a replacement was provided. We want to ensure you receive the correct phone case. ^EZ,"Customer: Ordered cases for our new iPhone X and @115821 sent me iPhone 8 cases for BOTH ones. NOT THE SAME PHONE! #pissed
AmazonHelp: @117793 I'm sorry you didn't receive the correct items! I recommend trying the steps here for wrong items: https://t.co/3B6iUhjS3U ^SJ
Customer: @AmazonHelp I already chatted with help and am still not convinced i'll get the right item because clearly the warehouse workers can't read.","explicit_support_request, high_frustration"
refund_return,"@AmazonHelp Haven’t received any mail, can you please resend mail to __email__",@117791 I just checked and can see that we have sent you an email correspondence. Request you to please check your spam folder. ^MK,"Customer: @115821 , #fake I phone 7 received from amazon , order India - order ID: 171-8960684-6076325, amazon India has refused to replace @115850 https://t.co/iHDriblZw9
AmazonHelp: @117791 Sorry for the trouble with the order. We've emailed you here: https://t.co/DhLEO2IzjY Kindly check and respond. Please 1/2
Customer: @AmazonHelp Haven’t received any mail, can you please resend mail to __email__",explicit_support_request
delivery_not_received,@AmazonHelp I have filled the details,"@117791 If you've shared your details in the link, we'll check and get back to you with an update soon. ^MK","Customer: @AmazonHelp I have checked there is no email from amazon, and amazon is in safe senders list.
AmazonHelp: @117791 If you haven't received any email, please share your details here: https://t.co/GIJyeYqKE0 and we'll get back to you. ^HD
Customer: @AmazonHelp I have filled the details",missing_delivery
refund_return,"@115821 , #fake I phone 7 received from amazon , order India - order ID: 171-8960684-6076325, amazon India has refused to replace @115850 https://t.co/iHDriblZw9",@117791 Sorry for the trouble with the order. We've emailed you here: https://t.co/DhLEO2IzjY Kindly check and respond. Please 1/2,"Customer: @115821 , #fake I phone 7 received from amazon , order India - order ID: 171-8960684-6076325, amazon India has refused to replace @115850 https://t.co/iHDriblZw9",explicit_support_request
product_device_issue,"@AmazonHelp amazon just doesn’t seem to get it together, poor customer service, warranty is a scam",@117845 Sorry to hear you're having issues with your Fire tablet. Seems to be a bit of an issue with the link above. Please provide info here: https://t.co/R55eEQwSEs so we can look into this for you. ^ES,"Customer: @AmazonHelp I was on the phone for an hour; kids fire tablet not working , warranty is a lie and your agents are rude.
AmazonHelp: @117845 I'm sorry for this poor experience. We'd like to look into this. Please pass your details to us here: https://t.co/vQp02VsuI4 ^RR
Customer: @AmazonHelp amazon just doesn’t seem to get it together, poor customer service, warranty is a scam",explicit_support_request
