golden_id,customer_tweet_id,brand_tweet_id,customer_author_id,current_customer_message,historical_brand_response,conversation_context,context_turn_count,gold_intent,gold_action,gold_handling,gold_reason,gold_evidence_sufficient,sampling_reason,candidate_intent,candidate_action,ambiguity_score,escalation_flags
AMZ-0011,702978,702976,280492,"@AmazonHelp Why is your Logistics team not available to complain to by phone? Disgraceful service today, parcel left in unsafe place which has now been stolen, and order says ""delivered to person"" which is blatant lie!",@280492 I'm very sorry. Please let us look into this further and go over options with you by using this link: https://t.co/JzP7hlA23B ^DO,"Customer: @AmazonHelp Why is your Logistics team not available to complain to by phone? Disgraceful service today, parcel left in unsafe place which has now been stolen, and order says ""delivered to person"" which is blatant lie!",1,,,,,,escalation,delivery,phone_chat,0,missing_delivery
AMZ-0012,761269,761268,191547,@AmazonHelp what causes a “carrier delay” for a 2 days late package being delivered by Amazon Logistics?,@191547 We'd like to take a closer look into the delay. Please send us your details here: https://t.co/HvQGznhHMr ^LI,Customer: @AmazonHelp what causes a “carrier delay” for a 2 days late package being delivered by Amazon Logistics?,1,,,,,,balanced_intent,delivery,investigation,0,
AMZ-0013,1724907,1724908,381552,@AmazonHelp That's the same stupid 'Contact Us' link I got sent on Monday when my package wasn't delivered. @115817 and @118706 get my packages to me on time but AMZL US screws up every 3rd delivery.,"@381552 Have we missed our mark? If so, please let us know what the current tracking status shows here: https://t.co/Y5jpI9gRhE ^FD","Customer: WTF @115821 your delivery service sucks. 2-day delivery was supposed to be here today. Last tracking update was 11/4. Where’s my stuff?
AmazonHelp: @381552 I'm sorry you haven't received your order. Please reach out to us and we'll be glad to assist: https://t.co/hApLpMlfHN ^FJ
Customer: @AmazonHelp That's the same stupid 'Contact Us' link I got sent on Monday when my package wasn't delivered. @115817 and @118706 get my packages to me on time but AMZL US screws up every 3rd delivery.",3,,,,,,ambiguous;context_heavy,delivery,acknowledgement,2,
AMZ-0014,1980617,1980616,586296,Seriously @115821. Your Amazon Logistics drivers are either inept or willfully bad at their jobs. You need a pickup option for Prime items,"@586296 I'm sorry for any aggravation! W/o providing account info, could you let us know what is going on? ^DD",Customer: Seriously @115821. Your Amazon Logistics drivers are either inept or willfully bad at their jobs. You need a pickup option for Prime items,1,,,,,,balanced_intent,delivery,investigation,0,
AMZ-0015,1204484,1204483,402937,@115851 @115821 why force your customers to deal with Amazon logistics Delivery when they can't follow simple instructions!,@402937 Hello- Are you currently awaiting a delivery now which we can help with? ^NV,"Customer: Fun day christening Amazon’s latest wind farm. #RenewableEnergy https://t.co/cTxeXdsFop
Customer: @115851 @115821 why force your customers to deal with Amazon logistics Delivery when they can't follow simple instructions!",2,,,,,,ambiguous;context_heavy,delivery,investigation,2,
AMZ-0016,1614523,1614521,495238,@115850 my order no 403-2881035-1260303 shown delivered but yet to reach me.,"@495238 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 3/3 ^RI",Customer: @115850 my order no 403-2881035-1260303 shown delivered but yet to reach me.,1,,,,,,escalation,delivery,unknown,0,missing_delivery
AMZ-0017,1959449,1959448,581253,@AmazonHelp Please could you let me know how to contact Amazon Logistics to let them know that leaving a parcel in a wheelie bin is not the preferred method of delivery? https://t.co/LYaLfFsCxy,"@581253 I am sorry to hear this. Can I ask, have you selected a safe place instruction for this order please?^GA",Customer: @AmazonHelp Please could you let me know how to contact Amazon Logistics to let them know that leaving a parcel in a wheelie bin is not the preferred method of delivery? https://t.co/LYaLfFsCxy,1,,,,,,ambiguous,delivery,investigation,2,
AMZ-0018,2808971,2808970,783399,"@AmazonHelp 3 terrible delivery experiences in a row from Amazon Logistics. I DO NOT want to use them anymore! I need a phone number to call to speak to someone about this. An individual that can actually help me, not a call center.","@783399 I'm so sorry for the poor experiences you've had. I completely understand your frustration. We'd love to help. A member of my team would like to investigate this matter on your behalf. Please, provide us your contact information here: https://t.co/nuAqQ7KaTn ^EB","Customer: @AmazonHelp 3 terrible delivery experiences in a row from Amazon Logistics. I DO NOT want to use them anymore! I need a phone number to call to speak to someone about this. An individual that can actually help me, not a call center.",1,,,,,,ambiguous;escalation,delivery,phone_chat,4,explicit_human_request;high_frustration
AMZ-0019,669174,669172,171800,@AmazonHelp I've done all of em,"@171800 When were you expecting your package, you can check here: https://t.co/Y5jpI9gRhE? From this link, you should be able to see your refund/replacement options available. ^SY","Customer: Hey @115821 what's the protocol for a package that wasn't delivered, but you say it's delivered. 👀 @115817
AmazonHelp: @171800 I'm sorry you haven't received your order. Please try these tips to help locate it: https://t.co/EWBlkF4VW0 ^CL
Customer: @AmazonHelp I've done all of em",3,,,,,,ambiguous;escalation;context_heavy,delivery,acknowledgement,2,missing_delivery
AMZ-0020,2405210,2405209,691799,@AmazonHelp @115850 Order No : 405-1690258-0505123 not delivered and msg comes attempted delivery made. No contact made by the delivery boy till date,"@691799 Apologies for the inconvenience. Please report this to our support team here: https://t.co/rS49hgaADF so that we can assist you accordingly. Also, please don't provide your order details, we consider it to be personal information. Our page is visible to public. ^BV",Customer: @AmazonHelp @115850 Order No : 405-1690258-0505123 not delivered and msg comes attempted delivery made. No contact made by the delivery boy till date,1,,,,,,balanced_intent,delivery,unknown,0,
AMZ-0021,1002905,1002904,357392,@115850 teach ur exe (shiny)some manners to talk. My order is not delivered and she is showing her anger and attitude. Rude and horrible.,@357392 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG,Customer: @115850 teach ur exe (shiny)some manners to talk. My order is not delivered and she is showing her anger and attitude. Rude and horrible.,1,,,,,,balanced_intent,delivery,unknown,0,
AMZ-0022,987009,987008,206717,@115850 delivery of phone ordered with prime postponed twice now and still not delivered. #whysolate?,@206717 Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B. ^CB,Customer: @115850 delivery of phone ordered with prime postponed twice now and still not delivered. #whysolate?,1,,,,,,ambiguous,delivery,phone_chat,2,
AMZ-0023,2460678,2460677,704588,@115850 @AmazonHelp Here are the details. https://t.co/utnczLkSil,"@704588 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is visible to the public. ^AP","Customer: @115850 @AmazonHelp my order is not delivered but got the sms as delivered. This is the third issue in a row with Amazon. Need the delivery asap.
Customer: @115850 @AmazonHelp Here are the details. https://t.co/utnczLkSil",2,,,,,,ambiguous;escalation;context_heavy,order_status_tracking,information,8,missing_delivery
AMZ-0024,2460838,2460839,152495,@AmazonHelp Shared the details.,@152495 We've received your details. We're looking into the issue and shall get back to you soon. ^SH,"Customer: @AmazonHelp I have already contacted Amazon support and got a reply that they cannot refund my money. This is pathetic.To get my money back I have to tweet you 100 times.
AmazonHelp: @152495 Apologies for the hassle, Karthik. Please share your details here: https://t.co/GIJyeYqKE0 I'll reach &amp; assist you. ^SV
Customer: @AmazonHelp Shared the details.",3,,,,,,ambiguous;escalation;context_heavy,order_status_tracking,refund_replacement,6,high_frustration
AMZ-0025,849790,849791,321921,@AmazonHelp Which details you want,"@321921 We have received your details in the link, Navdeep. We'll check and get back to you with an update shortly. ^MK","Customer: @AmazonHelp Order number #405-4871744-6795553 is never delivered but on portal says Delivered. Cloudtail india vendor
AmazonHelp: @321921 I've checked and we still haven't received your details. Please share them as it will help us help you better. ^HA
Customer: @AmazonHelp Which details you want",3,,,,,,ambiguous;escalation;context_heavy,order_status_tracking,information,6,missing_delivery
AMZ-0026,1189453,1189455,399598,@AmazonHelp It's 27 Oct,@399598 I request you to wait until the estimated delivery date and I'm positive that the product will be delivered to you. ^AH,"Customer: @AmazonHelp @115850 on 22 Oct my product was out for delivery but due to some reason I couldn't collect it. Hence did not received it till date.
AmazonHelp: @399598 Could you help us with the estimated delivery date provided in the order confirmation email? ^HK
Customer: @AmazonHelp It's 27 Oct",3,,,,,,ambiguous;escalation;context_heavy,order_status_tracking,unknown,6,missing_delivery
AMZ-0027,246397,246398,174525,@AmazonHelp No there isn’t,"@174525 We'd like to look into this further. Please reach out here: https://t.co/JzP7hlA23B Keep us updated, we want to help! ^ HM","Customer: @AmazonHelp Should have been today. 4/10/17
AmazonHelp: @174525 Do you see a reason for the delay listed in your tracking information? Is there a new delivery date for this order? ^DD
Customer: @AmazonHelp No there isn’t",3,,,,,,ambiguous;context_heavy,order_status_tracking,information,8,
AMZ-0028,349416,349417,199166,@AmazonHelp Inboxing my details...,@199166 information. Our Twitter page is public.​ 3/3 ^EM,"Customer: @AmazonHelp I have done tht tooo looong back but m not getting any response, you guys has disappointed me badly. Can you check the complete issue pls??
AmazonHelp: @199166 I'm afraid we can't access your account details from Twitter. Our team can access your details via the email you've sent. ^HA
Customer: @AmazonHelp Inboxing my details...",3,,,,,,ambiguous;escalation;context_heavy,order_status_tracking,information,6,high_frustration
AMZ-0029,225502,225503,169868,@AmazonHelp Do you have any ETA ?,"@169868 Please be assured we are trying to resolve the issue, at the earliest. Your patience is appreciated. ^GS","Customer: @AmazonHelp I do not received any call from service person yet - its 10:00 am now, can someone followup and update me the status.
AmazonHelp: @169868 We're already working on this issue, I request you to wait for an update. ^VR
Customer: @AmazonHelp Do you have any ETA ?",3,,,,,,ambiguous;escalation;context_heavy,order_status_tracking,phone_chat,4,missing_delivery
AMZ-0030,811615,838333,313376,@1840 @115850 @1560 @AmazonHelp @AmazonHelp @15958 submitted my details but what are you doing right now.,@313376 We've emailed correspondence to your registered email ID. Please refer and revert if you need any further assistance. ^GS,"Customer: Very disappointed from amazon..plz help me sir @1840 @115850 @1560 @AmazonHelp https://t.co/GqFcOq4YyH
Customer: @1840 @115850 @1560 @AmazonHelp @AmazonHelp @15958 submitted my details but what are you doing right now.",2,,,,,,ambiguous;escalation;context_heavy,order_status_tracking,information,2,high_frustration
AMZ-0031,354630,354629,200293,The only thing this @115821 tracking number tracks is LIES. (This is the replacement for the preorder games that didn't arrive on Friday) https://t.co/mrtZ9hGLBs,@200293 I'm sorry! Our team would like to ensure this is addressed. Please provide some details here: https://t.co/onNdIiogJ0 ^WT,Customer: The only thing this @115821 tracking number tracks is LIES. (This is the replacement for the preorder games that didn't arrive on Friday) https://t.co/mrtZ9hGLBs,1,,,,,,ambiguous,order_status_tracking,refund_replacement,4,
AMZ-0032,1095163,1095162,158367,@115850 I fell in love with a few products &amp; want 2 buy them 4 Diwali gifting; the delivery dates r 18-23rd October; why no 1 day delivery,"@158367 Estimated dates are calculated based on location, courier, distance. The order will be delivered as per the date mentioned. ^ZH",Customer: @115850 I fell in love with a few products &amp; want 2 buy them 4 Diwali gifting; the delivery dates r 18-23rd October; why no 1 day delivery,1,,,,,,ambiguous,order_status_tracking,unknown,2,
AMZ-0033,316357,316356,191277,@115850 why cant u provide me with correct detailas of who is supposed to deliver my order? This is so bad on your part #patheticservices,@191277 We've responded to your query here: https://t.co/IE8rsvQgat. Kindly check. ^PS,Customer: @115850 why cant u provide me with correct detailas of who is supposed to deliver my order? This is so bad on your part #patheticservices,1,,,,,,ambiguous,order_status_tracking,unknown,2,
AMZ-0034,65667,65666,131032,@AmazonHelp Have shared the details thru the link given. now call asap @115851,"@131032 Thank you confirming on filling in your details, Somnath. Please be assured our team will get in touch with you at the earliest. ^PB","Customer: @AmazonHelp already contacted your customer support team.. they are of no help..if u cant call then arrange for a call from your senior management. @115851 I guess atleast this you get it done
AmazonHelp: @131032 As this is a social media platform, we can't view your account/order information. Please send your details from the link here: https://t.co/VNUITkunAc and we will assist you further. ^HR
Customer: @AmazonHelp Have shared the details thru the link given. now call asap @115851",3,,,,,,ambiguous;context_heavy,order_status_tracking,information,2,
AMZ-0035,2609168,2609166,493934,@AmazonHelp struggling to see why £1 was just taken from my bank by amazon retail can anyone help?,"@493934 Hi Emma, for more information about the charge, click here: https://t.co/KOLSUh7vK1 ^SY",Customer: @AmazonHelp struggling to see why £1 was just taken from my bank by amazon retail can anyone help?,1,,,,,,balanced_intent,order_status_tracking,unknown,0,
AMZ-0036,254654,254652,176526,Superb service brought down my pathetic courier like ecom. Fake tracking info just to clear backlog @115850 order ID 406-9943208-5906764,@176526 ..your order details as we consider them to be personal information. Our Twitter page is visible to public. ^PB (2/2),Customer: Superb service brought down my pathetic courier like ecom. Fake tracking info just to clear backlog @115850 order ID 406-9943208-5906764,1,,,,,,escalation,order_status_tracking,unknown,0,high_frustration
AMZ-0037,592052,592053,260112,"@AmazonHelp I think you didnt get, there is no option for me to register mu complaint or provide any details... Really frustrating experience.why should I do this if I am at no fault. I ordered it and it was supposed to be with me now But it's not",@260112 Sorry to hear about the unpleasant experience. We'd like to take a closer look into this. Please share your details here: https://t.co/beaaDm0muc and we’ll contact you soon. ^SM,"Customer: @AmazonHelp Well, there isn't any option to escalate or comment, it's just order info n stuff... How about addressing the already delayed delivery???
AmazonHelp: @260112 I get the situation here, Vijay. Please report this to our support team through the link that was provided earlier and we will assist you further. Appreciate your understanding. ^NK
Customer: @AmazonHelp I think you didnt get, there is no option for me to register mu complaint or provide any details... Really frustrating experience.why should I do this if I am at no fault. I ordered it and it was supposed to be with me now But it's not",3,,,,,,ambiguous;context_heavy,order_status_tracking,information,4,
AMZ-0038,91422,91421,135817,@AmazonHelp It hasn’t arrived by the new estimated delivery date and you haven’t been responding. Care to help yet?,@135817 I'm sorry about this! We want to be sure you are receiving your parcels when they are expected. Please reach out to us directly here so that we can take a look into this for you: https://t.co/hApLpMlfHN We'd like to help!,"Customer: @AmazonHelp Yes
AmazonHelp: @135817 Please keep us updated, Brady! If it hasn't arrived by the new estimated delivery date let us know. ^LA
Customer: @AmazonHelp It hasn’t arrived by the new estimated delivery date and you haven’t been responding. Care to help yet?",3,,,,,,ambiguous;context_heavy,order_status_tracking,unknown,2,
AMZ-0039,249153,249152,175192,"Still waiting for my code from @115821, may as well just wait until tomorrow and play the open beta :(","@175192 Sorry to hear you've not gotten your code. When did you order and what platform did you order for? (PC, PS4, Xbox One) ^AD","Customer: Anyone got any spare #StarWarsBattlefrontIIBETA codes?
Customer: Still waiting for my code from @115821, may as well just wait until tomorrow and play the open beta :(",2,,,,,,ambiguous;context_heavy,order_status_tracking,unknown,2,
AMZ-0040,191800,191799,161071,Well thanks for never sending my Battlefront II beta code @116090. Your service continues to astound me.,@161071 Give us a call Sandro and we'll take a look at this with you. Here's a link to help: https://t.co/Q7Ftz6nj80 ^EM,Customer: Well thanks for never sending my Battlefront II beta code @116090. Your service continues to astound me.,1,,,,,,balanced_intent,order_status_tracking,acknowledgement,0,
AMZ-0041,382397,382399,206653,@AmazonHelp Defective product https://t.co/V57dd68EEH,"@206653 Rakesh, as mentioned earlier, please share the details via the link provided earlier and we'll reach out to you. ^MS","Customer: I told so many times to amazon customer care but no response. Really its a worst customer service on Amazon @115850 ❌🚫 https://t.co/IzxSbLuay5
AmazonHelp: @206653 We can't access your Amazon account over Twitter. Kindly share the same over the secure link we have shared. ^CB
Customer: @AmazonHelp Defective product https://t.co/V57dd68EEH",3,,,,,,ambiguous;escalation;context_heavy,return_refund_replacement,phone_chat,6,high_frustration
AMZ-0042,814324,814326,313945,@AmazonHelp will it be refunded??,@313945 Kindly drop in your details using the link provided earlier. We'll get back to you accordingly. ^ST,"Customer: @AmazonHelp just had to sign in??
AmazonHelp: @313945 You will have to login to your amazon account before sharing your details via link provided earlier. ^AK
Customer: @AmazonHelp will it be refunded??",3,,,,,,ambiguous;context_heavy,return_refund_replacement,refund_replacement,8,
AMZ-0043,2208558,2208556,360869,@115821 Or my replacement purchase free . This is RIDICULOUS .,"@360869 Sorry to hear of this experience! Without personal/accountt info, can you tell us a bit more about what's happened? ^JE","Customer: I’m having theee worst issue with @115821…for the first time ever .
Customer: @115821 I need a full refund and a discount off a new purchase at this point .
Customer: @115821 Or my replacement purchase free . This is RIDICULOUS .",3,,,,,,ambiguous;escalation;context_heavy,return_refund_replacement,refund_replacement,6,high_frustration
AMZ-0044,2291157,2291159,665469,"@AmazonHelp I placed an order over the phone and they said on day of order they would refund my postage costs in 5 working days that was on 26th oct, I am still waiting and now they refusing say they added it as credit to my amazon account instead 😡",@665469 Hi Shirelle- Can you explain further what you mean by the order was placed over the phone? Why was this necessary? Was a reason provided as to why it couldn't be refunded directly to your account? ^NV,"Customer: @115830 your customer service is terrible! Just like to steal my money!!
AmazonHelp: @665469 Hi Shirelle- Without providing personal info, can you explain further what has happened? Thank you. ^NV
Customer: @AmazonHelp I placed an order over the phone and they said on day of order they would refund my postage costs in 5 working days that was on 26th oct, I am still waiting and now they refusing say they added it as credit to my amazon account instead 😡",3,,,,,,ambiguous;escalation;context_heavy,return_refund_replacement,phone_chat,4,high_frustration
AMZ-0045,384519,384521,207043,"@AmazonHelp This is ridiculous, I want my money back, I do not wish to make any purchase on Amazon.😞😞😞",@207043 that we can assist you accordingly. (2/2) ^MO,"Customer: @115850 please share how can Amazonpay money be refunded to the credit card with which money was added to Amazonpay.
AmazonHelp: @207043 We do not have the option to transfer the Amazon pay balance funds to your credit card or bank account. ^SA
Customer: @AmazonHelp This is ridiculous, I want my money back, I do not wish to make any purchase on Amazon.😞😞😞",3,,,,,,ambiguous;escalation;context_heavy,return_refund_replacement,refund_replacement,4,high_frustration
AMZ-0046,1728672,1728673,512805,@AmazonHelp She said that I’ll be refunded when the items reach the seller but I received no email confirmation and nothing is updated in my account,@512805 Did the agent confirm that the orders had been dispatched? You may need to refuse delivery. ^JJ,"Customer: @AmazonHelp I did and she was absolutely clueless
AmazonHelp: @512805 Oh no, this isn't what we like to hear! What information were you provided with when you spoke with our representative? ^MW
Customer: @AmazonHelp She said that I’ll be refunded when the items reach the seller but I received no email confirmation and nothing is updated in my account",3,,,,,,ambiguous;escalation;context_heavy,return_refund_replacement,refund_replacement,4,explicit_human_request
AMZ-0047,2353897,2353898,680146,"@AmazonHelp Thanks. I’ve had a response already. One item was unexpectedly delayed at dispatch (not sure why, they didn’t say) hence the whole order was delayed. They’ve put it as high priority and I’ll be getting my delivery costs refunded too 👍🏼",@680146 Thanks for the update! Please keep us posted on its arrival. We want to make sure you get your items. ^JM,"Customer: @AmazonHelp I can see the carrier for previous orders. For this one, the tracking part has gone and it only shows the screenshot I included before. I literally cannot track it any more, which is odd. I can even still track old orders. I have already emailed via that link. Thanks. 👍🏼
AmazonHelp: @680146 We'd like to look into this with you. Please call or chat with us here: https://t.co/JzP7hlRCV9 ^MH
Customer: @AmazonHelp Thanks. I’ve had a response already. One item was unexpectedly delayed at dispatch (not sure why, they didn’t say) hence the whole order was delayed. They’ve put it as high priority and I’ll be getting my delivery costs refunded too 👍🏼",3,,,,,,ambiguous;escalation;context_heavy,return_refund_replacement,investigation,4,explicit_human_request
AMZ-0048,900409,900407,119697,@AmazonHelp You refunded a transaction to a card/bank account that has been closed. Transaction should be rejected - told to go to old bank for check?,@119697 2/2 with the bank anymore they'll issue a refund check to you. Please get in touch with the bank to ask about the options. ^BH,"Customer: @AmazonHelp for the first time ever I'm really disappointed in your customer service.
AmazonHelp: @119697 Oh no! I'm so sorry! We'd like to help. Without posting acct/personal info, can you please provide a description of the issue? ^AG
Customer: @AmazonHelp You refunded a transaction to a card/bank account that has been closed. Transaction should be rejected - told to go to old bank for check?",3,,,,,,ambiguous;escalation;context_heavy,return_refund_replacement,phone_chat,4,high_frustration
AMZ-0049,915920,915922,337465,"@AmazonHelp Already done that. If this is not resolved today, I would like to cancel this order and claim a full refund. Very disappointed.",@337465 is working on your issue. You may also reply to our correspondence sent for further assistance. (2/2)^SF,"Customer: @AmazonHelp Filled up the details. No action on this yet. Please expedite the process.
AmazonHelp: @337465 Sorry for the delay. We're working on resolving this for you. Meanwhile, please reply to our emails for more information. ^JC
Customer: @AmazonHelp Already done that. If this is not resolved today, I would like to cancel this order and claim a full refund. Very disappointed.",3,,,,,,ambiguous;escalation;context_heavy,return_refund_replacement,information,4,high_frustration
AMZ-0050,183392,183391,159125,@AmazonHelp Refund not received for an order placed on 22nd September and cancelled.,@159125 Sorry for the trouble. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,Customer: @AmazonHelp Refund not received for an order placed on 22nd September and cancelled.,1,,,,,,escalation,return_refund_replacement,refund_replacement,0,missing_delivery
AMZ-0051,827124,827123,317023,"@AmazonHelp Received a Defective Phone Delivered Yesterday, Returning Process is lengthy. Plz Do the needful",@317023 Sorry to know you've received a defective order. Please reach us from here: https://t.co/rS49hgaADF we'll assist you. ^SV,"Customer: @AmazonHelp Received a Defective Phone Delivered Yesterday, Returning Process is lengthy. Plz Do the needful",1,,,,,,balanced_intent,return_refund_replacement,phone_chat,0,
