k,cluster,cluster_size,top_terms,representative_rank,customer_text,clean_text
8,5,5578,"customer, service, customer service, customer care, care, worst, amazon, worst customer, order, just, delivery, amazon customer, contact, called, help",7,@115850 your customer service disappoints me every time.,your customer service disappoints me every time
8,5,5578,"customer, service, customer service, customer care, care, worst, amazon, worst customer, order, just, delivery, amazon customer, contact, called, help",8,"@115830 guys, your customer service is diabolical.",guys your customer service is diabolical
8,5,5578,"customer, service, customer service, customer care, care, worst, amazon, worst customer, order, just, delivery, amazon customer, contact, called, help",9,@115830 Apalling customer service for deliveries yet again!!!!!!!,apalling customer service for deliveries yet again
8,5,5578,"customer, service, customer service, customer care, care, worst, amazon, worst customer, order, just, delivery, amazon customer, contact, called, help",10,@AmazonHelp I telephoned customer service last night.,i telephoned customer service last night
8,6,14713,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",1,@AmazonHelp Que grandes chicos!! 😂😂💜,que grandes chicos
8,6,14713,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",2,@AmazonHelp Own! Que amores!❤,own que amores
8,6,14713,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",3,"@AmazonHelp por la tranquilidad de los padres y la felicidad de los niños, yo que vosotros no confiaba en ellos en entrega garantizada, porque no es así y les da igual el trastorno que causan",por la tranquilidad de los padres y la felicidad de los ni os yo que vosotros no confiaba en ellos en entrega garantizada porque no es as y les da igual el trastorno que causan
8,6,14713,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",4,"@AmazonHelp En indiquant que la veille en laissant l'avis de passage, il a oublié le colis sur la poubelle de l'entrée et espérait qu'un voisin l'a récupéré pour me le donner ( je n'ai rien eu)",en indiquant que la veille en laissant l'avis de passage il a oubli le colis sur la poubelle de l'entr e et esp rait qu'un voisin l'a r cup r pour me le donner je n'ai rien eu
8,6,14713,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",5,"@AmazonHelp Le 9. Le principal pb est que je dois rester à la maison (donc depuis jeudi, je suis bloquée) et que ce n'est pas pratique (au delà du fait que l'anniversaire de mon fils est demain et que que mon XP passée de ce transporteur ne me rend pas optimiste pour le respect des délais).",le 9 le principal pb est que je dois rester la maison donc depuis jeudi je suis bloqu e et que ce n'est pas pratique au del du fait que l'anniversaire de mon fils est demain et que que mon xp pass e de ce transporteur ne me rend pas optimiste pour le respect des d lais
8,6,14713,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",6,@AmazonHelp Je n’ai pas attendu pour le faire. Admettez que rien n’est fait pour simplifier cet aspect de la relation client. La com ne fait pas tout.,je n ai pas attendu pour le faire admettez que rien n est fait pour simplifier cet aspect de la relation client la com ne fait pas tout
8,6,14713,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",7,"@AmazonHelp Pues hice el encargo de una pulsera, para sorprender a mi esposa en el aniversario. En Amazon decía que se entregaría el 29 y de madrugada vi que saldría hoy en reparto, escribí para cambiar la fecha a mañana, pero le hablaron a mi esposa diciendo de la pulsera para mañana 😔",pues hice el encargo de una pulsera para sorprender a mi esposa en el aniversario en amazon dec a que se entregar a el 29 y de madrugada vi que saldr a hoy en reparto escrib para cambiar la fecha a ma ana pero le hablaron a mi esposa diciendo de la pulsera para ma ana
8,6,14713,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",8,"@120533 Je commence à en avoir assez que vous me disiez le jour de la livraison, que le stock n'est pas disponible. Je paye Amazon prime, on me donne une date, je m'attends donc à recevoir le colis à la date prévue. 
Je vous prierais de bien vouloir vérifier la disponibilité ➡",je commence en avoir assez que vous me disiez le jour de la livraison que le stock n'est pas disponible je paye amazon prime on me donne une date je m'attends donc recevoir le colis la date pr vue je vous prierais de bien vouloir v rifier la disponibilit
8,6,14713,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",9,"@AmazonHelp est ce que , en vous mettant a la place du client , vous trouvez ca normal qu’on vous réponde «  peut être «  pour une commande ?  Juste ca ? 
Est ce que le fait que j’ai annulé après cela est il compréhensible ou pas ?",est ce que en vous mettant a la place du client vous trouvez ca normal qu on vous r ponde peut tre pour une commande juste ca est ce que le fait que j ai annul apr s cela est il compr hensible ou pas
8,6,14713,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",10,"Gracias @64848 por la recomendación de la serie ""El hombre en el castillo"" de @130293 ¡Me está encantando!¿Conoce la novela?",gracias por la recomendaci n de la serie el hombre en el castillo de me est encantando conoce la novela
8,7,13203,"amazon, account, delivery, amazon pay, pay, india, product, amazon logistics, logistics, time, amazon india, just, service, don, refund",1,AmazonさんからのUSMの支払い番号がまだ届いてません＼(^o^)／,amazon usm o
8,7,13203,"amazon, account, delivery, amazon pay, pay, india, product, amazon logistics, logistics, time, amazon india, just, service, don, refund",2,うええ……Amazonさんで9800円のお買い物してお金払ったのに商品が不良品で出荷できなくなり、アマゾンギフト券で9800円戻されても……ちょっと金額大きいんですけど……。,amazon 9800 9800
8,7,13203,"amazon, account, delivery, amazon pay, pay, india, product, amazon logistics, logistics, time, amazon india, just, service, don, refund",3,@115850 Caution from Amazon !!!!!!!!!!!!! https://t.co/mTvTUqlm9M,caution from amazon
8,7,13203,"amazon, account, delivery, amazon pay, pay, india, product, amazon logistics, logistics, time, amazon india, just, service, don, refund",4,Amazonプライムビデオ便利だわー٩( 'ω' )و,amazon ' '
8,7,13203,"amazon, account, delivery, amazon pay, pay, india, product, amazon logistics, logistics, time, amazon india, just, service, don, refund",5,"おいいいいい！発売する三ヶ月前から予約注文で受け付けた品物くらい発売日にきっちり届けろよAmazonさんw

だからkonozamaとか言われるんだよw",amazon w konozama w
8,7,13203,"amazon, account, delivery, amazon pay, pay, india, product, amazon logistics, logistics, time, amazon india, just, service, don, refund",6,"Amazonプライムビデオ見るたびに砂嵐になるのどうにかしてほしいな
60Hz以上だとこの現象発生するらしいしAmazon側で解決求む",amazon 60hz amazon
8,7,13203,"amazon, account, delivery, amazon pay, pay, india, product, amazon logistics, logistics, time, amazon india, just, service, don, refund",7,"登録料金の未納が発生しております。本日ご連絡なき場合、法的手続きに移行致します。amazonサポートセンター0359318824

amazon？使った事ないのにメール来た。
未だに、この手の詐欺が存在するんだね…。
この番号に注意してくださいね！",amazon 0359318824 amazon
8,7,13203,"amazon, account, delivery, amazon pay, pay, india, product, amazon logistics, logistics, time, amazon india, just, service, don, refund",8,"@AmazonHelp いえいえ、Amazonさんこそとばっちりの迷惑かけられてお疲れ様ですm(__)m 

詐欺軍団はあの手この手で迷惑極まりないですねヽ(`Д´)ﾉﾌﾟﾝﾌﾟﾝ",amazon m m
8,7,13203,"amazon, account, delivery, amazon pay, pay, india, product, amazon logistics, logistics, time, amazon india, just, service, don, refund",9,"今しがた届いたAmazonのダンボールクッソタバコ臭いんだけどSBS AZ便マジで死んで。
@AmazonHelp",amazon sbs az
8,7,13203,"amazon, account, delivery, amazon pay, pay, india, product, amazon logistics, logistics, time, amazon india, just, service, don, refund",10,@120533  I ❤️ Amazon #iloveamazon,i amazon iloveamazon
10,0,14621,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",1,@AmazonHelp Own! Que amores!❤,own que amores
10,0,14621,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",2,@AmazonHelp Que grandes chicos!! 😂😂💜,que grandes chicos
10,0,14621,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",3,"@AmazonHelp por la tranquilidad de los padres y la felicidad de los niños, yo que vosotros no confiaba en ellos en entrega garantizada, porque no es así y les da igual el trastorno que causan",por la tranquilidad de los padres y la felicidad de los ni os yo que vosotros no confiaba en ellos en entrega garantizada porque no es as y les da igual el trastorno que causan
10,0,14621,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",4,"@AmazonHelp Le 9. Le principal pb est que je dois rester à la maison (donc depuis jeudi, je suis bloquée) et que ce n'est pas pratique (au delà du fait que l'anniversaire de mon fils est demain et que que mon XP passée de ce transporteur ne me rend pas optimiste pour le respect des délais).",le 9 le principal pb est que je dois rester la maison donc depuis jeudi je suis bloqu e et que ce n'est pas pratique au del du fait que l'anniversaire de mon fils est demain et que que mon xp pass e de ce transporteur ne me rend pas optimiste pour le respect des d lais
10,0,14621,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",5,"@AmazonHelp En indiquant que la veille en laissant l'avis de passage, il a oublié le colis sur la poubelle de l'entrée et espérait qu'un voisin l'a récupéré pour me le donner ( je n'ai rien eu)",en indiquant que la veille en laissant l'avis de passage il a oubli le colis sur la poubelle de l'entr e et esp rait qu'un voisin l'a r cup r pour me le donner je n'ai rien eu
10,0,14621,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",6,@AmazonHelp Je n’ai pas attendu pour le faire. Admettez que rien n’est fait pour simplifier cet aspect de la relation client. La com ne fait pas tout.,je n ai pas attendu pour le faire admettez que rien n est fait pour simplifier cet aspect de la relation client la com ne fait pas tout
10,0,14621,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",7,"@AmazonHelp Pues hice el encargo de una pulsera, para sorprender a mi esposa en el aniversario. En Amazon decía que se entregaría el 29 y de madrugada vi que saldría hoy en reparto, escribí para cambiar la fecha a mañana, pero le hablaron a mi esposa diciendo de la pulsera para mañana 😔",pues hice el encargo de una pulsera para sorprender a mi esposa en el aniversario en amazon dec a que se entregar a el 29 y de madrugada vi que saldr a hoy en reparto escrib para cambiar la fecha a ma ana pero le hablaron a mi esposa diciendo de la pulsera para ma ana
10,0,14621,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",8,"@120533 Je commence à en avoir assez que vous me disiez le jour de la livraison, que le stock n'est pas disponible. Je paye Amazon prime, on me donne une date, je m'attends donc à recevoir le colis à la date prévue. 
Je vous prierais de bien vouloir vérifier la disponibilité ➡",je commence en avoir assez que vous me disiez le jour de la livraison que le stock n'est pas disponible je paye amazon prime on me donne une date je m'attends donc recevoir le colis la date pr vue je vous prierais de bien vouloir v rifier la disponibilit
10,0,14621,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",9,"@AmazonHelp est ce que , en vous mettant a la place du client , vous trouvez ca normal qu’on vous réponde «  peut être «  pour une commande ?  Juste ca ? 
Est ce que le fait que j’ai annulé après cela est il compréhensible ou pas ?",est ce que en vous mettant a la place du client vous trouvez ca normal qu on vous r ponde peut tre pour une commande juste ca est ce que le fait que j ai annul apr s cela est il compr hensible ou pas
10,0,14621,"que, la, en, el, est, le, je, pas, et, por, ai, lo, vous, pour, mi",10,"Gracias @64848 por la recomendación de la serie ""El hombre en el castillo"" de @130293 ¡Me está encantando!¿Conoce la novela?",gracias por la recomendaci n de la serie el hombre en el castillo de me est encantando conoce la novela
10,1,5461,"customer, service, customer service, customer care, care, worst, amazon, order, worst customer, amazon customer, poor, called, contact, time, pathetic",1,@115821 your customer service is wack,your customer service is wack
10,1,5461,"customer, service, customer service, customer care, care, worst, amazon, order, worst customer, amazon customer, poor, called, contact, time, pathetic",2,@AmazonHelp @115851 You  call this customer service?? https://t.co/n3e6vf9IPJ,you call this customer service
10,1,5461,"customer, service, customer service, customer care, care, worst, amazon, order, worst customer, amazon customer, poor, called, contact, time, pathetic",3,@AmazonHelp Shittiest customer service ever.,shittiest customer service ever
10,1,5461,"customer, service, customer service, customer care, care, worst, amazon, order, worst customer, amazon customer, poor, called, contact, time, pathetic",4,@115850 tremendous improvements in customer service..,tremendous improvements in customer service
10,1,5461,"customer, service, customer service, customer care, care, worst, amazon, order, worst customer, amazon customer, poor, called, contact, time, pathetic",5,@115821 your customer service is 💯🤙🏻,your customer service is
10,1,5461,"customer, service, customer service, customer care, care, worst, amazon, order, worst customer, amazon customer, poor, called, contact, time, pathetic",6,.@115821 customer service been slippin 🧐 https://t.co/xJyfvhtgmm,customer service been slippin
10,1,5461,"customer, service, customer service, customer care, care, worst, amazon, order, worst customer, amazon customer, poor, called, contact, time, pathetic",7,@115850 your customer service disappoints me every time.,your customer service disappoints me every time
10,1,5461,"customer, service, customer service, customer care, care, worst, amazon, order, worst customer, amazon customer, poor, called, contact, time, pathetic",8,"@115830 guys, your customer service is diabolical.",guys your customer service is diabolical
10,1,5461,"customer, service, customer service, customer care, care, worst, amazon, order, worst customer, amazon customer, poor, called, contact, time, pathetic",9,@115830 Apalling customer service for deliveries yet again!!!!!!!,apalling customer service for deliveries yet again
10,1,5461,"customer, service, customer service, customer care, care, worst, amazon, order, worst customer, amazon customer, poor, called, contact, time, pathetic",10,@AmazonHelp I telephoned customer service last night.,i telephoned customer service last night
10,2,7213,"delivered, order, package, today, delivered today, says, delivery, package delivered, order delivered, product, says delivered, amazon, ordered, supposed delivered, supposed",1,"@115850 
Delivered?  To whom? https://t.co/RiEvtTMDAa",delivered to whom
10,2,7213,"delivered, order, package, today, delivered today, says, delivery, package delivered, order delivered, product, says delivered, amazon, ordered, supposed delivered, supposed",2,@AmazonHelp Still not been delivered,still not been delivered
10,2,7213,"delivered, order, package, today, delivered today, says, delivery, package delivered, order delivered, product, says delivered, amazon, ordered, supposed delivered, supposed",3,@AmazonHelp stamped as delivered.,stamped as delivered
10,2,7213,"delivered, order, package, today, delivered today, says, delivery, package delivered, order delivered, product, says delivered, amazon, ordered, supposed delivered, supposed",4,@AmazonHelp Both have now been delivered.,both have now been delivered
10,2,7213,"delivered, order, package, today, delivered today, says, delivery, package delivered, order delivered, product, says delivered, amazon, ordered, supposed delivered, supposed",5,@AmazonHelp delivered &amp; not be?,delivered not be
10,2,7213,"delivered, order, package, today, delivered today, says, delivery, package delivered, order delivered, product, says delivered, amazon, ordered, supposed delivered, supposed",6,@AmazonHelp This is how Comfort fabric conditioner is delivered today @115850 https://t.co/t6EalN8GqY,this is how comfort fabric conditioner is delivered today
10,2,7213,"delivered, order, package, today, delivered today, says, delivery, package delivered, order delivered, product, says delivered, amazon, ordered, supposed delivered, supposed",7,@AmazonHelp The Q is - will it be delivered today?,the q is will it be delivered today
10,2,7213,"delivered, order, package, today, delivered today, says, delivery, package delivered, order delivered, product, says delivered, amazon, ordered, supposed delivered, supposed",8,@115821 can you get it delivered today? Please!! https://t.co/tqExhrDnRp,can you get it delivered today please
10,2,7213,"delivered, order, package, today, delivered today, says, delivery, package delivered, order delivered, product, says delivered, amazon, ordered, supposed delivered, supposed",9,"@115830 this was ""delivered"" today. https://t.co/8uZg8VxChb",this was delivered today
10,2,7213,"delivered, order, package, today, delivered today, says, delivery, package delivered, order delivered, product, says delivered, amazon, ordered, supposed delivered, supposed",10,"@AmazonHelp Delivered today
Your package was delivered.",delivered today your package was delivered
10,3,3590,"thanks, thanks help, help, amazon, just, got, reply, thanks amazon, order, quick, ok, response, hi, ok thanks, thanks quick",1,@AmazonHelp All done. Thanks.,all done thanks
10,3,3590,"thanks, thanks help, help, amazon, just, got, reply, thanks amazon, order, quick, ok, response, hi, ok thanks, thanks quick",2,"@AmazonHelp Have done, thanks.",have done thanks
10,3,3590,"thanks, thanks help, help, amazon, just, got, reply, thanks amazon, order, quick, ok, response, hi, ok thanks, thanks quick",3,@AmazonHelp It's done. Thanks!,it's done thanks
10,3,3590,"thanks, thanks help, help, amazon, just, got, reply, thanks amazon, order, quick, ok, response, hi, ok thanks, thanks quick",4,@115850 Thanks for it,thanks for it
10,3,3590,"thanks, thanks help, help, amazon, just, got, reply, thanks amazon, order, quick, ok, response, hi, ok thanks, thanks quick",5,"@AmazonHelp Done.
It was withering.
Many thanks.",done it was withering many thanks
10,3,3590,"thanks, thanks help, help, amazon, just, got, reply, thanks amazon, order, quick, ok, response, hi, ok thanks, thanks quick",6,@AmazonHelp Thanks for this,thanks for this
10,3,3590,"thanks, thanks help, help, amazon, just, got, reply, thanks amazon, order, quick, ok, response, hi, ok thanks, thanks quick",7,@2005 @120781 @115850 @AmazonHelp Thanks .. we have,thanks we have
10,3,3590,"thanks, thanks help, help, amazon, just, got, reply, thanks amazon, order, quick, ok, response, hi, ok thanks, thanks quick",8,"@AmazonHelp I found it, thanks.",i found it thanks
10,3,3590,"thanks, thanks help, help, amazon, just, got, reply, thanks amazon, order, quick, ok, response, hi, ok thanks, thanks quick",9,"@AmazonHelp Thanks, please do so.",thanks please do so
10,3,3590,"thanks, thanks help, help, amazon, just, got, reply, thanks amazon, order, quick, ok, response, hi, ok thanks, thanks quick",10,@AmazonHelp thanks all done,thanks all done
10,4,13349,"amazon, amazon prime, prime, order, pay, india, amazon pay, product, amazon india, amazon logistics, time, logistics, ordered, service, refund",1,@AmazonHelp Tomb of Annihilation (Dungeons &amp; Dragons) https://t.co/BZZe7jsPs8 #Amazon,tomb of annihilation dungeons dragons amazon
10,4,13349,"amazon, amazon prime, prime, order, pay, india, amazon pay, product, amazon india, amazon logistics, time, logistics, ordered, service, refund",2,やっとAmazonから到着🎶  #GQJAPAN  #新しい地図  #SMAP https://t.co/CN0F2qJdAD,amazon gqjapan smap
10,4,13349,"amazon, amazon prime, prime, order, pay, india, amazon pay, product, amazon india, amazon logistics, time, logistics, ordered, service, refund",3,"È ufficiale, Amazon crea dipendenza.
#shoppingonline 🛍💸
#amazon",ufficiale amazon crea dipendenza shoppingonline amazon
